,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8670,Martin Görge,Rainer Görge,TSVS,1,3,1,1,,1
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,3,1,2,2,,2
GER,8621,Volker Niedik,Stefan Heising,BSV,OCS,5,3,3,,3
GER,8608,Bernd Rasenack,Jörn Richter,ZSK,DNC,6,5,4,,4
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,6,2,10,8,,5
GER,8470,Norbert Dasenbrook,Sven Meier,KSW,9,8,4,6,,6
GER,8661,Diethardt Freye,Michael Klügel,BSV,4,10,8,7,,7
GER,8466,Klaus Rieck,Sven Friedrich,BSV,7,15,7,5,,8
GER,8388,Andreas Klein,Marius Knippscheer,SCN,2,9,9,13,,9
GER,8108,Thorge Holm,Nils Holm,BCN,8,4,11,10,,10
GER,8570,Till Supan,Gregor Dahlem,ETUF,5,12,12,9,,11
GER,8607,Bernd Kowalzig,Eike Dietrich,SCBK,16,DNF,6,11,,12
GER,8601,Christian Koch,Jens Hufnagel,TSVS,13,11,14,15,,13
GER,8542,Tom Swift,Arnd Hover,NRV,10,7,DNF,DNC,,14
GER,8471,Jörg Morche,Oliver Deutschbein,BSV,11,17,17,12,,15
GER,8582,Ole Paulsen,Ulli Riegger,BSV,12,13,16,DNC,,16
GER,8657,Georg Neulen,Michael Schütte,WYCA,14,14,DNF,14,,17
GER,8421,Christoph Blecken,Hannes Becker,BSV,DNC,16,13,17,,18
GER,7548,Thilo König,Kristine König,OSVE,15,18,18,16,,19
GER,8412,Antje Paulsen,Björn Schaar,BSV,17,19,15,18,,20
GER,7747,Hendrik Oberheid,Björn Schwiemann,ETuF,18,20,19,19,,21
