Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,1,6,1,8,8,1
GER,8413,Martin Eckel,Christian Schuster,HSC,6,1,3,10,10,2
GER,7930,Christoph Hessel,Anette Hessel,YCU,4,4,2,10,10,3
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,5,2,4,11,11,4
GER,8475,Göran Berggren,Agnes Berggren,SCLW,2,3,7,12,12,5
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,3,7,6,16,16,6
GER,7768,Thoralf Greger,Thorsten Koch,ASVG,7,5,8,20,20,7
GER,8652,Sebastian Dörr,Nancy Cahoon,HSC,8,10,5,23,23,8
GER,7970,Nils Burghard,Susanne Bauer,SCLW,9,8,10,27,27,9
GER,7442,Claudius Zeiler,Matthias Zeiler,SGR,14,9,11,34,34,10
GER,7661,Peter Heimbeck,Anette Heimbeck,SCLW,DNF 16,12,9,37,37,11
GER,413*,Ulli Stegbauer,Michael Müller,HSC,11,11,DNF 16,38,38,12
GER,8098,Albrecht Maisch,Frank Letsche,SGK,13,DNC 16,12,41,41,13
GER,8519,Ines Berghof,Robert Wisolek,SCLW,10,DNC 16,DNC 16,42,42,14
GER,8642,Francisco Sanguino,Lydia Winter,DTYC,12,DNC 16,DNC 16,44,44,15
