Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8659,Axel Oberemm,Gerd Linnemann,BYC-SC,3,1,1,5,1
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,6,2,3,11,2
GER,8370,Michael Rehberg,Harald Nowka,VBS,2,5,5,12,3
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,4,7,2,13,4
GER,8376,Volker Niedik,Stefan Heising,BSV,1,3,DSQ,20,5
GER,8507,Armin Eismann,Tino Käcks,SCA,9,8,4,21,6
GER,8466,Klaus Rieck,Sven Friedrich,BSV,10,6,6,22,7
GER,8472,Melanie Horstmann,Mirko Oestergaard,HSC,7,9,8,24,8
GER,8661,Diethardt Freye,Michael Klügel,BSV,5,4,DSQ,25,9
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,14,10,7,31,10
GER,8393,Stephan Solbrig,Phillips Niklas,DBYC,12,12,10,34,11
GER,8582,Antje Paulsen,Björn Schaar,BSV,15,13,9,37,12
GER,8222,Rainer Kremkow,Uwe Liesen,WAG,11,15,11,37,13
GER,6786,Hendrik Reinhardt,Jörg Roißoland,SVSF,8,14,DSQ,38,14
GER,8224,Lars Thiel,Annette Thiel,ZSV,13,11,DSQ,40,15
