Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8519,Robert Wisolek,Oliver Paulzen,SCLW,1,2,1,4,4,1
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,2,1,3,6,6,2
GER,8580,Frieder Achterberg,Andreas Achterberg,DTYC,3,3,2,8,8,3
GER,8413,Martin Eckel,Christian Schuster,HSC,5,4,5,14,14,4
GER,7970,Nils Burghard,Susanne Bauer,SCLW,4,7,8,19,19,5
GER,8530,Christina Höll,Tobias Quadfaß,HSC,7,6,7,20,20,6
GER,7661,Stephan Schweiger,Johannes Schmederer,SCLW,6,5,10,21,21,7
GER,8642,Thoralf Greger,Jonas Nissen,ASVG,12,8,4,24,24,8
GER,8574,Jörn Leuckel,Christian Meissner,YCSS,8,10,11,29,29,9
GER,8210,Nikolaus Jägersberg,Jochen Heydolph,SCLW,9,15,6,30,30,10
GER,8518,Klaus Eifler,Nathalie Friedrich,SCLW,15,12,9,36,36,11
GER,7442,Claudius Zeiler,Thorsten Koch,SGR,11,13,12,36,36,12
GER,8098,Albrecht Maisch,Frank Letsche,SGK,14,11,13,38,38,14
GER,8598,Klaus Riedl,Nikolaus Riedl,SCHC,13,14,DNC 15,42,42,15
