Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8590,"Stefan Köchlin","Peter Hobusch",SKF,1,2,1,1,5,,1
GER,8721,"Martin Seikel","Norbert Becker",PSVK,2,1,2,2,7,,2
GER,8621,"Volker Niedik","Stefan Heising",BSV,16,3,3,3,25,,3
GER,8370,"Michael Rehberg",Wolf,VBS,5,5,4,4,18,,4
GER,8437,"Uwe Knop","Tom Rettschlag",WSC,4,4,5,6,19,,5
GER,8385,"Martin Bernauer","Ulf Geisler",CNFT,12,6,8,7,33,,6
GER,8634,"Oliver Booth","Gerrit Haaland",HSC,7,14,11,5,37,,7
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,8,7,10,9,34,,8
GER,8507,"Armin Eismann","Tino Käcks",SCA,9,11,7,8,35,,9
GER,8387,"Eckart König","Michael Troch",SGJ,11,9,6,11,37,,10
GER,8224,"Lars Thiel","Annette Thiel",ZSV,14,10,9,10,43,,11
GER,8601,"Christian Koch","Jens Hufnagel",TSVS,10,8,12,"DSQ 20",50,,12
GER,8421,"Christoph Blecken","Hannes Becker",BSV,6,12,13,"DNC 20",51,,13
GER,6786,"Hendrik Reinhardt","Kerstin Schult",SVSF,15,13,15,"DNC 20",63,,14
GER,8531,"Jürgen Hatje","Ole Günther",KYC,3,"DNC 20","DNC 20","DNC 20",63,,15
GER,7764,"Robert Henning","Claudia Kroll",SVSF,17,15,14,"DNC 20",66,,16
GER,6169,"Axel Schult","Anika Kerkow",,18,16,16,"DNC 20",70,,17
GER,8575,"Jürgen Waldheim","Bastian Menninge",PYC,13,"DNF 20","DNC 20","DNC 20",73,,18
GER,8560,"Steffen Kerters","Peter Hecht",WSV,"DNC 20",17,"DNF 20","DNC 20",77,,19
