Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8670,"Martin Görge","Rainer Görge",TSVS,1,3,2,1,2,"DNC 31",1,41,,1
GER,8531,"Lutz Stengel","Frank Feller",ROYC,2,1,3,3,3,3,7,22,,2
GER,8651,"Joachim Oetken","Stefan Oetken",FYC,3,2,1,6,1,5,8,26,,3
GER,8595,"Jens Findel","Johannes Tellen",KYC,7,10,7,4,5,1,2,36,,4
GER,8550,"Dietrich Scheder-Bieschin","Martin Schöler",NRV,8,5,10,2,4,2,"DNC 31",62,,5
GER,8590,"Stefan Köchlin","Peter Hobusch",SKF,9,6,6,11,9,10,4,55,,6
GER,8744,"Jörg Häger","Hans-Heinrich Rix",SCB,5,7,13,5,8,"DNC 31",6,75,,7
GER,8725,"Tom Gosch","Jörg Müller",ENSFV,22,"DNC 31",8,10,7,4,3,85,,8
GER,8669,"Tim Böger","Heinz Salters",HSC,19,8,9,8,13,6,11,74,,9
GER,8570,"Till Supan","Philipp Eikelmann",ETUF,15,9,20,9,6,6,13,78,,10
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,11,12,22,7,12,14,9,87,,11
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,14,22,17,12,15,7,5,92,,12
GER,8563,"Matthias Jetschke","Jens Weishaupt",WSCW,6,11,16,18,10,17,"DNC 31",109,,13
GER,8657,"Georg Neulen","Norbert Lins",WYCA,10,23,13,17,16,12,10,101,,14
GER,8746,"Ronald Roos","Gerd Linnemann",SVWu,"DNF 31",15,4,13,14,9,"DNC 31",117,,15
DEN,8377,"Anders Høj Christensen","Peter J. Christensen",HVID,17,18,18,15,18,11,14,111,,16
GER,8672,"Melanie Horstmann","Mirko Oestergaard",HSC,23,24,21,16,11,13,15,123,,17
GER,8433,"Jürgen Anton","Thomas Tschentscher",HSC,18,17,12,19,17,"DNC 31",19,133,,18
GER,8756,"Jürgen Hatje","Iris Kunterwald",KYC,12,13,14,14,"DNC 31","DNC 31",21,136,,19
GER,8424,"Peter Gerdts","Karsten Lahrs",HSC,16,25,"DNC 31",20,21,15,18,146,,20
DEN,8728,"Jörgen Schönherr","Anders Kaempe",KJS,4,4,5,"DNC 31","DNC 31","DNC 31","DNC 31",137,,21
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,"DNF 31",19,26,22,20,16,22,156,,22
DEN,8609,"Peter Møller","Martin Frederichsen",NSKD,24,26,27,21,22,18,17,155,,23
GER,8430,"Klaus Heeschen","Frederik Teichmann",WSCW,25,27,24,"DNC 31",19,19,16,161,,24
GER,8664,"Franziska Unkelbach","Caroline von Dahl",KYC,20,21,11,"DNC 31","DNC 31","DNC 31","DNC 31",176,,26
DEN,8632,"Peter Bede-Mikkelsen","Clausen Caroline",,13,20,19,"DNC 31","DNC 31","DNC 31","DNC 31",176,,27
GER,8601,"Christian Koch","Jan Büscher",TSVS,26,14,28,"DNC 31","DNC 31","DNC 31","DNC 31",192,,28
GER,8317,"Hartwig Friedrichs","Ursula Tetzlaff",WSCW,"DNF 31","OCS 31",23,"DNC 31","DNC 31","DNC 31",12,190,,29
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,21,16,"DNF 31","DNC 31","DNC 31","DNC 31","DNC 31",192,,30
GER,8675,"Karsten Morf","Heike Jansen",CKA,27,"OCS 31",25,"DNC 31","DNC 31","DNC 31","DNC 31",207,,31
