Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8437,"Uwe Knop","Tom Rettschlag",WSC,2,1,"DNF 17",20,20,1
GER,8539,"Olaf Oberländer","Ute Oberländer",CKA,1,3,"DNC 17",21,21,2
GER,8224,"Lars Thiel","Annette Thiel",ZSV,4,2,"DNC 17",23,23,3
GER,8507,"Armin Eismann","Tino Käcks",SCA,7,4,"DNC 17",28,28,4
GER,8385,"Martin Bernauer","Ulf Geisler",CNFT,3,"DSQ 17","DNC 17",37,37,5
GER,8472,"Melanie Horstmann","Mirko Oestergaard",HSC,5,"DNF 17","DNC 17",39,39,6
GER,8575,"Robert Baumann","Maik Kaiser",SSV,6,"DNF 17","DNF 17",40,40,7
GER,8279,"Maike Miechelsen","Kay-Enno Brink",WSU,8,"DNF 17","DNC 17",42,42,8
GER,8471,"Jörg Morche","Oliver Deutschbein",BSV,9,"DNF 17","DNC 17",43,43,9
GER,6786,"Hendrik Reinhardt","Kerstin Schult",SVSF,10,"DNF 17","DNC 17",44,44,10
GER,6169,"Anika Kerkow","Axel Schult",SWVW,11,"DNF 17","DNC 17",45,45,11
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,12,"DNF 17","DNC 17",46,46,12
GER,6685,"Lutz Kandzia","Martin Deutscher",ASV,13,"DNF 17","DNC 17",47,47,13
GER,8433,"Jürgen Anton","Jürgen Wasceszio",HSC,14,"DNF 17","DNC 17",48,48,14
GER,7764,"Robert Henning","Claudia Kroll",SVSF,"DNF 17","DNF 17","DNC 17",51,51,15
GER,7548,"Kristine König","Thilo König",BSV,"DNF 17","DNF 17","DNC 17",51,51,16
