Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8531,"Franziska Göltz","Holger Jess",SSC,2,1,1,4,4,1
GER,8590,"Stefan Köchlin","Peter Hobusch",SKF,1,6,2,9,9,2
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,3,5,4,12,12,3
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,4,2,11,17,17,4
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,9,3,8,20,20,5
GER,8507,"Armin Eismann","Tino Käcks",SCA,6,10,6,22,22,6
GER,8661,"Diethardt Freye","Michael Klügel",BSV,16,9,3,28,28,7
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,8,7,13,28,28,8
GER,8387,"Michael Troch","Eckart König",SGJ,17,4,9,30,30,9
GER,8599,"Herrmann Heide","Maik Kaiser",SSV,10,13,7,30,30,10
GER,8365,"Henning Wehke","John Fiolka",TSV,7,12,12,31,31,11
GER,8466,"Klaus Rieck","Sven Friedrich",BSV,11,11,10,32,32,12
GER,8437,"Uwe Knop","Stefan Kusserow",WSC,5,16,"DNF 28",49,49,13
GER,8500,"Robert Baumann","Martin Baumann",SSV,12,22,16,50,50,14
GER,6786,"Hendrik Reinhardt","Kerstin Schult",SVSF,"DNF 28",8,14,50,50,15
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,20,"DNC 28",5,53,53,16
GER,7548,"Kristine König","Thilo König",BSV,14,19,21,54,54,17
GER,8222,"Jan Büscher","Niels Seeck",WYC,15,"OCS 28",15,58,58,18
GER,8392,"Niklas Reisenauer","Georg Mittermayer",DFSC,18,23,20,61,61,19
GER,7764,"Robert Henning","Claudia Kroll",SVSF,29,15,18,62,62,20
GER,8601,"Steffen Henning","Tobias Jokisch",HSC,13,21,"DNF 28",62,62,21
GER,8430,"Klaus Heeschen","Marten Christiansen",WSCW,"DNF 28",17,19,64,64,22
GER,8224,"Lars Thiel","Lars Paulick",ZSV,"DNF 28",20,17,65,65,23
GER,6196,"Axel Schult","Anika Kerkow",,"DNF 28",18,22,68,68,24
GER,465,"Susan Hinrichs","Dirk Bethge",,19,"OCS 28",23,70,70,25
GER,8607,"Bernd Kowalzig","Ulrich Ellerbeck",SCBK,"DNF 28",14,"OCS 28",70,70,26
GER,8412,"Antje Paulsen","Björn Schaar",BSV,"DNF 28",24,"DNF 28",80,80,27
