Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8750,"Christian Müllejans","Holger Jess",SVWu,1,1,1,1,4,,1
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,5,4,8,3,20,,2
GER,8665,"Jens-Peter Schlomka","Norman Schlomka",TSVS,2,6,9,5,22,,3
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,3,5,15,6,29,,4
GER,8590,"Stefan Köchlin","Nicole Hunecke",SKF,"DNC 21",2,5,2,30,,5
GER,8670,"Martin Görge","Andrea Görge",TSVS,4,"DNC 21",2,8,35,,6
GER,8424,"Peter Gerdts","Karsten Lahrs",HSC,6,10,12,9,37,,7
GER,8507,"Armin Eismann","Tino Käcks",SCA,12,7,7,11,37,,8
GER,867,"Volker Görge","Marlies Endjer",TSVS,9,9,6,16,40,,9
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,"DNC 21",3,11,4,39,,10
GER,8601,"Christian Koch","Jan Büscher",TSVS,7,8,14,13,42,,11
GER,8607,"Bernd Kowalzig","Petra Beier",SCBK,10,12,18,7,47,,12
GER,8478,"Kai-Uwe Weiss","Tobias Jokisch",HSV,11,11,13,14,49,,13
GER,7878,"Karsten Steinbach","Michael Schindler",ASV,8,13,16,17,54,,14
GER,8675,"Karsten Morf","Heike Jansen",CKA,"DNC 21","DNC 21",4,10,56,,15
GER,8756,"Jürgen Hatje","Iris Kunterwald",KYC,"DNC 21","DNC 21",10,12,64,,16
GER,8057,"Thomas Brodersen","Marten Christiansen",YFS,13,14,19,"DSQ 21",67,,17
GER,8047,"Grietje Therkorn","Kirstin Schirrmacher",CKA,14,"DNC 21",17,15,67,,18
GER,8128,"Astrid Mesenbrink","Philipp Mühlenhardt",TSVS,"DNC 21",15,20,18,74,,20
GER,8609,"Michael Kärgel","Daniel Ströh",SCE,"DNC 21","DNC 21","DNC 21",19,82,,21
