Nation,Sail Number,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Punkte,Position
GER,8750,Dr.Wolfgang Hunger,Holger Jess,PYC,1,1,1,3,1,4,1
GER,8746,Stefan Böhm,Gerald Roos,SCV,15,2,4,1,3,10,2
GER,8663,Claas Lehmann,Sven Kurka,NRV,2,3,5,2,8,12,3
GER,8670,Martin Görge,Torsten Hauerland,TSVS,4,10,2,5,4,15,4
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,13,4,3,4,5,16,5
DEN,8620,Jan Saugmann,,HiS,3,9,6,11,2,20,6
GER,8744,Hans-Heinrich Rix,Burkhard Vierth,TSVS,11,5,10,6,9,30,7
GBR,8481,Simon Payne,Bill Masterman,HISC,6,14,8,26,10,38,8
GER,8730,Jörg Häger,Thorsten Drewes,SCB,7,8,18,19,6,39,9
GER,8658,Christian Schäfer,Uwe Lätsch,BYC,8,7,11,14,15,40,10
GER,8563,Matthias Jetschke,Jens Weishaupt,WSCW,5,12,15,12,19,44,11
GER,8659,Axel Oberemm,Gerd Linnemann,BYC-SC,9,6,16,13,20,44,12
GER,8725,Thomas Gosch,Rolf Meyer,c,14,19,13,7,11,45,13
GER,8621,Volker Niediek,,BSV,19,25,12,8,7,46,14
GER,8619,Jens Findel,Johannes Tellen,SVG,22,16,9,10,12,47,15
GER,8590,Stefan Köchlin,Peter Hobusch,SKF,17,24,14,9,18,58,16
GER,8675,Volker Görge,Karsten Morf,TSVS,12,13,22,20,13,58,17
GER,8465,Jens Hufnagel,Markus Schöner,ScStM,10,22,27,17,14,63,18
DEN,8632,Peter-Beck Mikkelsen,Dines Pontoppidan,SYC,23,20,17,24,16,76,19
GER,8480,Felix Ismar,Philip Ismar,WYD,16,15,33,21,29,81,20
GER,8388,Andreas Klein,Marius Knippscheer,SCN,20,33,20,16,25,81,21
GER,8661,Diethardt Freye,Michael Kluegel,BSV,24,11,26,32,22,83,22
GER,8608,Bernd Rasenack,Kay-Enno Brink,ZSK,18,21,21,25,23,83,23
GER,8749,Stephan Krause,Michael Krause,HiSC,28,31,7,23,31,89,24
GER,8570,Till Supan,Gregor Dahlem,ETUF,27,26,19,29,17,89,25
DEN,8581,Jon Moller Andersen,Lasse Adreasen,REERSO,26,27,23,15,DSQ,91,26
GER,8665,Jens-Peter Schlomka,Klaus Stammerjohann,TSVS,25,17,30,28,21,91,27
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCBK,21,18,34,34,30,103,28
GER,8664,Franziska Unkelbach,Caroline von Dahl,KYC,29,32,24,27,24,104,29
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,31,28,25,22,33,106,30
GER,8513,Hauke Rathjens,Frank Uhlemann,KYC,32,23,36,18,DNC,109,31
GER,8500,Robert Baumann,Maik Kaiser,SSV,30,36,28,30,28,116,32
GER,8601,Christian Koch,Jan Büscher,TSVS,37,29,29,DSQ,26,121,33
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,35,35,31,31,27,124,34
GER,8404,Hans-Christian Schwieger,Waldemar Schoenebeck,KYC-NR,33,30,35,33,32,128,35
GER,8392,Konrad Barop,Georg Mittermayer,RSV,39,40,32,35,34,140,36
GER,8430,Klaus Heeschen,Christoph Häuser,ccc,34,34,38,38,35,141,37
GER,7528,Anja Ludwig,Ralph Ludwig,svpb,38,39,37,DSQ,36,150,38
GER,8478,Kai-Uwe Weiss,Norbert Weiss,NN,40,38,40,42,38,156,39
GER,8450,Jürgen Feuerhake,Wilfried Scuis,YCSb,42,37,41,40,40,158,40
GER,7923,Jan Schulte-Rhade,Norman Hüper,ccc,DNC,DNC,39,36,37,159,41
GER,8324,Holger Becker,Kolja Völkers,SVSS,36,41,43,39,DNC,159,42
GER,8560,Steffen Kerters,Karsten Strübing,WSV,43,43,44,37,39,162,43
GER,8166,Roland Boettcher,Gabi Boettcher,ccc,41,42,42,41,41,165,44
GER,8500,Robert Baumann,,c,DNC,DNC,DNC,DNC,DNC,188,45
GER,2000,Steffen Kerfers,,WSV,DNC,DNC,DNC,DNC,DNC,188,45
