Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,4,1,1,2,8,,1
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,2,4,2,1,9,,2
GER,8652,Sebastian Dörr,Christian Dörr,HSC,1,3,6,4,14,,3
GER,8519,Robert Wisolek,Oliver Paulzen,SCLW,3,5,4,7,19,,4
GER,8642,Stefan Schollmayer,Francisco Sanguino,SCMSP,5,6,5,3,19,,5
GER,8658,Christian Schäfer,Anderl Denecke,BYC,9,2,7,5,23,,6
GER,8470,Nørbert Dasenbrook,Sven Meier,KSW,7,8,3,6,24,,7
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,6,7,12,13,38,,8
GER,7930,Christoph Hessel,Anette Hessel,YCU,8,9,14,8,39,,9
GER,7970,Nils Burghard,Christian Schuster,SCLW,14,10,8,10,42,,10
GER,8413,Martin Eckel,Tobias Quadfaß,HSC,11,11,9,14,45,,11
GER,7768,Thoralf Greger,Thorsten Koch,ASVG,15,14,11,9,49,,12
GER,8475,Göran Berggren,Agnes Berggren,SCLW,13,13,10,12,48,,13
GER,8572,Achim Funk,Andreas Linke,SCLW,12,12,15,11,50,,14
GER,7442,Claudius Zeiler,Matthias Gotthard,SGR,18,17,13,15,63,,15
GER,8580,Frieder Achterberg,Andreas Achterberg,DTYC,10,DNF 19,DNC 19,DNC 19,67,,16
GER,8098,Albrecht Maisch,Frank Letsche,SGK,16,16,16,16,64,,17
GER,413*,Ulli Stegbauer,Michael Müller,HSC,17,15,17,17,66,,18
