Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
GER,8670,Martin Görge,Rainer Görge,TSVS,1,2,1,5,6,5,14,1
GER,8539,Olaf Oberländer,Ute Ziems,CKA,22,3,8,1,2,1,15,2
GER,8746,Stefan Böhm,Gerald Roos,SCV,5,8,4,4,1,4,18,3
GER,8663,Claas Lehmann,Sven Kurka,NRV,4,1,3,8,12,6,22,4
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,2,5,2,6,DNF,13,28,5
GER,8725,Tom Gosch,Antje Gosch,ENSFV,19,7,13,3,11,8,42,6
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,10,6,11,12,5,12,44,7
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,3,9,23,17,7,10,46,8
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,9,4,15,14,8,15,50,9
GER,8744,Hans-Heinrich Rix,Insa Oldigs,TSVS,20,10,6,2,13,21,51,10
GER,8580,Frieder Achterberg,Andreas Achterberg,DTYC,7,21,12,22,10,3,53,11
GER,8519,Robert Wisolek,Oliver Paulzen,SCLW,13,15,9,16,15,2,54,12
GER,8665,Christian Kellner,Klaus Stammerjohann,HSC,32,13,21,11,3,9,57,13
GER,8652,Sebastian Dörr,Christian Dörr,HSC,15,11,7,13,20,26,66,14
GER,8619,Jens Findel,Johannes Tellen,SVG,14,18,18,15,4,16,67,15
GER,8751,Markus Mühlbauer,Angela Stenger,DTYC,8,17,27,7,17,18,67,16
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedson,NRV,21,19,16,10,9,24,75,17
GER,8675,Volker Görge,Karsten Morf,TSVS,17,24,31,9,19,7,76,18
GER,8721,Martin Seikel,Norbert Becker,PSVK,6,12,22,23,14,29,77,19
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,18,16,14,18,18,11,77,20
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,37,20,19,19,16,14,88,21
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,23,14,10,30,21,22,90,22
GER,8466,Klaus Rieck,Sven Friedrich,BSV,16,26,17,24,24,17,98,23
GER,8749,Stefan Krause,Michael Krause,HiSC,24,33,5,21,34,37,117,24
GBR,8736,Francis Cram,Dougal Cram,HISC,30,37,24,28,25,20,127,25
FRA,7941,Veronique Dousselin,Jean-Pierre Peter,ACAL,42,29,28,27,31,19,134,26
SUI,8426,Marcel Plüss,Christian Mösli,SVT,DNC,22,41,20,32,30,145,27
GER,8465,Jens Hufnagel,Jens Wilke,ScStM,31,34,33,25,22,39,145,28
GER,8697,Hans-Otto Frisch,Till Reckert,SCLW,26,43,29,33,30,28,146,29
GER,8691,Günther Böckle,Frank Heimburger,SSCM,12,36,36,39,26,40,149,30
GER,7930,Christoph Hessel,Anette Hessel,YCU,52,25,39,26,37,23,150,31
GER,8572,Achim Funk,Jakob Andreas,SCLW,27,27,40,29,36,31,150,32
GER,8388,Andreas Klein,Marius Knippscheer,SCN,11,32,20,DNF,33,DNF,156,33
GER,8317,Hartwig Friedrichs,Ursula Tetzlaff,WSCW,44,23,42,32,29,33,159,34
FRA,8484,Philippe Blanchard,Aubin Doerenbecher,ACAL,28,31,38,40,27,36,160,35
GER,8657,Georg Neulen,Norbert Lins,WYCA,46,38,26,31,23,48,164,36
GER,857*,Thoralf Greger,Thorsten Koch,ASVG,35,28,32,41,38,34,167,37
GER,8607,Bernd Kowalzig,Petra Beier,SCBK,29,30,35,35,39,38,167,38
GER,8413,Martin Eckel,Frank Letsche,HSC,DNF,44,37,34,35,25,175,39
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,25,40,43,43,52,42,193,40
GER,8642,Johannes Berggren,Francisco Sanguino,SCLW,40,35,DNF,48,42,32,197,41
GER,8562,Wolfgang Seifert,Klaus Frohmader,SGR,43,41,45,36,46,35,200,42
GER,8224,Lars Thiel,Annette Thiel,ZSV,36,46,30,37,53,53,202,43
SUI,7953,Adrian Zaugg,Yves Reinacher,SVK,DNC,39,DNF,DNC,28,27,214,44
GER,7442,Claudius Zeiler,Matthias Gotthard,SGR,34,49,48,38,45,51,214,45
GER,7970,Nils Burghard,Susanne Bauer,SCLW,50,42,46,42,44,41,215,46
GER,8471,Jörg Morche,Oliver Deutschbein,BSV,41,51,34,53,41,52,219,47
GER,7908,Uwe Hoffmann,Verena Hoffmann,WSVR,47,56,25,49,DNF,43,220,48
FRA,8415,Alfred Grosheny,Bertrand Grosheny,YCS,33,50,55,46,47,46,222,49
GER,7921,Jochen Heydolph,Eckhard Busch,WYC,39,55,47,44,50,49,229,50
GER,8450,Jürgen Feuerhacke,Margit Falk,YCSb,45,53,49,50,40,45,229,51
GER,8475,Göran Berggren,Agnes Berggren,SCLW,DNF,47,44,47,43,54,235,52
GER,8412,Antje Paulsen,Björn Schaar,BSV,38,52,50,51,51,47,237,53
GER,8530,Alexander von Mertens,Anna Höll,StSC,48,48,52,45,49,50,240,54
GER,7661,Peter Heimbeck,Thomas Heimbeck,SCLW,DNF,45,51,54,48,44,242,55
GER,8210,Nikolaus Jägersberg,Wolfgang Hilscher,DTYC,49,54,54,56,54,55,266,56
GER,8518,Klaus Eifler,Natalie Friedrich,SCLW,53,57,56,52,56,DNF,274,57
GER,413*,Ulli Stegbauer,Michaela Schrott,HSC,DNF,DNF,53,55,55,DNF,283,58
ITA,8609,Claus Quarz,Urs Vetter,FdV,51,DNC,DNC,DNC,DNC,DNC,291,59
