Nation,,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
,,,,,,,1
,,,,,,,2
,,,,,,,3
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,4
GER,,Sebastian Dörr,Jochen Heydolph,TSVM,,,5
,,,,,,,6
GER,,Martin Seikel,Norbert Becker,YCRM,,,7
GER,,Falko Braun,M. Möller,SCR,,,8
,,,,,,,9
GER,,Kai Löblein,Roland Wiedemann, ,,,10
,,,,,,,11
GER,,Günther Böckle,Frank Heimburger,SSCM,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
GER,,Jürgen Feuerhake,Margit Falk,YCSB,,,16
GER,,Martin Eckel,Erik Holz,HSC,,,17
