Land,,Steuermann/-frau,Vorschoter/-in,Club,,PunkteRL,Platz
FRA,8402,Philippe Boite,Jean Muzellec,,, ,1
FRA,,Marc Dousselin,Alain Beltzung,,, ,2
FRA,8455,Marcel Buffet,Pierre Jean Gallo,,, ,3
FRA,8352,Philippe Noclain,Jean-Pierre Noclain,,, ,4
FRA,,Philippe Blanchard,Blattner,,, ,5
FRA,7941,Veronique Dousselin,Jean Peter,,, ,6
FRA,8541,Francis Doerenbecher,Doerenbecher,,, ,7
GER,,Günther Böckle,Frank Heimburger,SSCM,,,8
FRA,,Robert Lehmann,Doerenbecher,,,,9
GER,,Dirk Frank,Stefan Kempf,SCS,,,10
FRA,,Nicolas Benoit,Nicole Follioley,,,,11
FRA,8459,Jerome Terrasson,Charles Briffotevaux,,,,12
FRA,,Eric Berrezay,Roger Chabaud,,,,13
FRA,,Guy Degreve,Olivier Amblard,,,,14
SUI,,Martin Nydegger,Esther Bertschi,,,,15
FRA,,Charles Frigaui,De Nestrefo,,,,16
FRA,,Bernard Blondt,Maxime Zarosinski,,,,17
FRA,,Albert Blattner,Jocaem Benke,,,,18
FRA,8436,Gilles Carvallo,Claire Carvallo,,,,19
GER,,Jürgen Feuerhake,Margit Falk,YCSB,,,20
GER,,Michael Kleis,Manfred Kern,SSCM,,,21
FRA,,Gerard Guthman,Severin Guthman,,,,22
GER,,Oliver Kraft,Andreas Ljoggel,SSCM,,,23
GER,,Roland Boetcher,Gabi Boetcher,SVGA,,,24
