Nation,Boat NO,Helm,Crew,Club,,,Place
GBR,8552,Mark Upton-Brown,Ian Mitchell,,,,1
FRA,8402,Philippe Boite,Jean Luc Muzellec,,,,2
GBR,8624,Ian Pinnel,Ian Godderey,,,,3
FRA,8362,Alain Boite,Edouard Koch,,,,4
FRA,8455,Marcel Buffet,Damien Trouillet,,,,5
GBR,8592,Paul Louesy,Andrew Williams,,,,6
FRA,8382,Eric Petit,Richard  Lefevre,,,,7
GBR,8508,Sam Neal,Andrew Palmer,,,,8
FRA,8452,Pierre Soulier,Bernard Peuch,,,,9
DEN,8581,Birgitte Søgård,Carsten Barlebo,,,,10
FRA,8431,Herve Druart,Thomas Boudier,,,,11
BEL,8536,Bart Meynendonckx,Chris Lehouck,,,,12
GBR,8635,Ian Montague,Simon Lake,,,,13
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,,,,14
FRA,8372,Gilbert Vinches,Fabrice Toupet,,,,15
GBR,8072,Tim Bird,Arthur George,,,,16
GBR,8510,Martin Wedge,Tim Olton,,,,17
FRA,7740,Thierry Rattier,Cecile Rattier,,,,18
BEL,8463,Emiel Van Hemeldonck,Jan Van Hemeldonck,,,,19
FRA,8294,Philippe Lucienne,Bruno Bonnet,,,,20
GBR,8464,Lee Martin,Donald Sloan,,,,21
FRA,8400,Marc Jouany,Erik Nigon,,,,22
FRA,8352,Philippe Noclain,Jean-Pierre Noclain,,,,23
GBR,8443,Alan Jurd,Burhatte Simon De,,,,24
FRA,8415,Alfred Grosheny,Bertrand Grosheny,,,,25
FRA,6593,Philippe Blanchard,Carole Blattner,,,,26
GBR,8591,Anne Cave-Penney,Richard Cave-Penney,,,,27
FRA,7940,Guy de Restrepo,Eric de Restrepo,,,,28
FRA,8031,Frederique Veroul,Jean-Jacques Veroul,,,,29
FRA,80*,Nicolas Loday,Marc Dousselin,,,,30
FRA,6580,Etienne Boyer,Emmanuel Boyer,,,,31
FRA,7941,Veronique Dousselin,Jean Pierre Peter,,,,32
SUI,8096,Alain Brasey,Stéphane Burri,,,,33
FRA,8367,Francois Croiset,Patrice Feuvrier,,,,34
FRA,8140,Michel Leveque,Jean Louis Guibbal,,,,35
FRA,8545,Alain Preel,Alexis Preel,,,,36
FRA,8436,Samuel Carvallo,Gilles Carvallo,,,,37
FRA,8101,Alain Debry,Tristan Debry,,,,38
FRA,8276,Gerard Tilly,Xavier Tilly,,,,39
FRA,8188,Phillipe le Norment,Suzanne Salaun,,,,40
FRA,7999,Marc Riot,Jean Marc Ohran,,,,41
FRA,8366,Patrick Moerman,Gilles Briant,,,,42
GER,8235,Rainer Kremkow,Petra Beier,,,,43
FRA,8301,Jacob-Antoine Lortat,Philip Chervet,,,,44
FRA,8063,Jean Baptiste Dupont,Julien Fernandez,,,,45
GBR,8304,Frank Rainsborough,M Kwiit,,,,46
FRA,8484,Robert Lehman,Alain Berltzind,,,,47
FRA,7929,Ludovic Roblin,Fabrice Javry,,,,48
FRA,6830,Antoine Victor,Marina Hashim,,,,49
