Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points Netto,Place
USA,8854,Craig Thompson,Michael Curtin,,2,3,3,1,1,1,1,[5],12,1
USA,8856,William Huebner,Ethan Bixby,,4,1,1,2,2,2,2,[6],14,2
CAN,8821,Luke Strickland,Christian Voyer,,3,[8],6,4,4,6,3,1,27T,3
USA,8930,Duane Delfosse,Mike Hull,,[7],2,7,3,3,4,4,4,27T,4
USA,9005,Thomas Kivney,Sol Marini,,5,6,2,6,[11/RET],5,7,2,33,5
USA,9186,Ted Bjerregaard,Matt Hersey,,6,5,4,[11/RET],11/RET,3,6,3,38,6
IRL,8987,Peter Scannell,Keith Longson,,1,4,5,[11/RET],11/RET,7,5,7,40,7
CAN,7876,Kyber Lovshin,Chloé Grondin,,8,7,9,5,5,8,8,[11/RET],50,8
USA,6936,Will Platt,Bill Platt,Bill Platt,[11/DNS],11/RET,8,11/RET,11/RET,11/DNS,11/RET,8,71,9
USA,8851,Michael Komar,Ben Greenfield,,[11/DNC],11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,77,10
