Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
USA,8856,Ethan Bixby   ,,SPSC  ,1,1,3,1,[4]  ,4,4,1,3,Science Project  ,,18T  ,1
USA,8854,Craig Thompson   ,Adam Wolnikowski,Portsmouth Yacht Club  ,3,2,1,3,2,3,[6]  ,2,2,Thompson Boat Works  ,,18T  ,2
USA,8930,Duane Delfosse   ,,LSYC  ,2,3,[8]  ,2,1,2,2,4,4,TBD  ,,20,3
USA,8643,Barney Harris   ,,PRSA & WRSC  ,5,4,5,[6]  ,3,1,1,5,1,The New Green Scam  ,,25,4
CAN,9042,Chris Tattersall   ,Bruce Clifford,Mississauga Sailing Club  ,4,5,4,4,7,[8]  ,3,3,7,Rocinante  ,,37,5
CAN,9138,Robert Bartlewski   ,Marek Balinski,OHCC  ,[11/DNS]  ,6,7,7,5,5,8,6,5,  ,,49,6
USA,9186,Ted Bjerregaard   ,Keith Longson,Bristol Yacht Club  ,6,7,2,5,8,7,5,[11/DNF]  ,11/RET  ,  ,,51,7
USA,9173,Sydney Spruill   ,Sterling Spruill Jr,Hampton YC  ,7,[9]  ,9,8,6,6,7,7,6,team trouble  ,,56,8
USA,8330,Nathaniel Plant   ,,spsc  ,8,8,6,[9]  ,9,9,9,8,8,orange 505  ,,65,9
USA,8939,Eric Schwab   ,Clark Hayes,CcYC  ,[11/DNS]  ,11/DNS  ,11/DNS  ,11/DNS  ,11/DNS  ,11/DNS  ,11/DNS  ,11/DNS  ,11/DNS  ,Twin City  ,,88,10
