Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,9248,Eric Anderson,Nic Baird,StFYC,1,1,[2],1,1,2,N = 2,6,8,1
USA,9106,Mike Martin,Adam Lowry,StFYC,2,2,1,2,[3],1,Mike's Boat,8,11,2
USA,9208,Clark Hayes,Blaine Pedlow,Penn Cove YC,3,[5],4,3,2,3,Pink Cadillac,15,20,3
USA,8937,Tim Murphy,Pat Diola,SCYC,4,3,3,4,[6],4,Laminar Blue,18,24,4
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,6,4,[DNS - 8],5,5,5,Rocket Surgery,25,33,5
USA,9091,Andrea Ciccardi,Luke Draper,LNC,5,6,[DNS - 8],6,4,6,None,27,35,6
GER,8965,Pete Meyerdirk,Dave Pakula,St FYC,7,[DNS - 8],DNS - 8,7,7,DNS - 8,None,37,45,7
