Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,1,2,[7],2,1,1,Mike's Boat,14,7,1
USA,9262,Howard Hamlin,Jeff Nelson,NHYC & ABYC,2,[5],2,3,3,2,None,17,12,2
USA,9082,Jeff Miller,Jon Bell,SCYC,3,[10],5,5,2,4,Miracle,29,19,3
USA,9072,Michael Holt,Rob Woelfel,SCYC,5,1,1,1,[DNF 14],DNS 14,None,36,22,4
USA,8937,Tim Murphy,Aaron Ziegler,SCYC,4,3,4,[6],5,6,Laminar Blue,28,22,5
USA,9248,Nick Adamson,Eric Anderson,StFYC / NOYC,[OCS 14],7,6,4,4,3,None,38,24,6
USA,893*,Jack Murphy,Gavin Murphy,StFYC,7,4,3,8,[9],9,None,40,31,7
USA,910*,Andrea Ciccardi,Luke Draper,LNC,8,8,[9],7,6,5,None,43,34,8
USA,9083,Rob Waterman,Aaron Ross,ABYC,6,6,[12],9,7,7,Cosmic Thing,47,35,9
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,9,9,8,[10],10,8,Rocket Surgery,54,44,10
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club/ACSC,[OCS 14],11,10,11,8,DNF 14,Rogue Rigging,68,54,11
USA,8207,Ole Eichhorn,David Rumbaugh,SBYC,10,12,11,[DNF 14],DNS 14,DNS 14,Spot,75,61,12
USA,8266,Steve Anderes,Derick Anderes,RYC,11,[DNC 14],DNC 14,DNC 14,DNC 14,DNC 14,Spaceman Spiff,81,67,13
