Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
CAN,8821,Luke Strickland,Christian Voyer,,1,1,2,2,2,Mach 5,,8,
USA,8930,Duane Delfosse,Mike Hull,,4,3,3,1,4,TBD,,15,
USA,8851,Ted Huebner,Kyle Dochoda,,2,2,1,5,6,8851,,16,
USA,8854,Craig Thompson,Spencer Ogden,,5,"6,5",4,3,1,Thompson Boat Works,,"19,5",
USA,9186,Ted Bjerregaard,Keith Longson,,3,5,5,4,3,tbd,,20,
IRL,8987,Peter Scannell,Solomon Marini,,7,4,8,6,5,Lookadatla,,30,
USA,9183,Michael Breton,Austin Wade,,6,"6,5",9,7,9,No Retreat,,"37,5",
,8952,John Gerster,Alec Gerster,,10/DNC,8,7,8,7,None,,40,
CAN,6985,William Platt,Will Platt,,10/DNC,10/DNF,6,10/DNF,8,A 505,,44,
