,Ident,Concurrents,Ret P,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Brutto,Netto,Rgs
GBR,9088,Andy Smith,Gilbert Roger,,7*,1,4,12*,1,4,1,7,3,1,1,42,23,1
GBR,9190,Ian Pinnell,Ben Iliffe,,1,11*,1,7*,7,2,2,4,1,3,3,42,24,2
FRA,9175,Philippe Boite,Mathieu Fountaine,,4,17*,3,4,4,1,4,1,6*,2,4,50,27,3
FRA,8904,Nicolas Martin,Julien Lafortune,,2,4,6,2,2,3,11*,5,7,22*,5,69,36,4
SUI,9096,Cédric Bart,Philippe Jacot,,3,6,2,17*,6,7,3,6,8*,4,8,70,45,5
SUI,9147,Caroline Jacot,René Betschen,,8,8,18*,14*,5,14,5,8,2,6,2,90,58,6
FRA,9099,Gilles Chapelin,Alain Karadjian,,10,2,7,13*,3,5,6,12,5,8,15*,86,58,7
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,,5,7,10,3,15*,6,12,2,10,13*,13,96,68,8
FRA,8716,Aline Martin,Yves Coltier,,15,3,9,1,8,17*,7,18*,4,11,12,105,70,9
BEL,8898,Bas Van Assche,Toon Van Assche,,13*,5,14*,5,11,13,9,11,9,12,6,108,81,10
FRA,8820,Thibault Di Pede,Fabrice Toupet,,9,10,11,20*,16*,10,13,3,13,9,7,121,85,11
FRA,8900,Serge Gubri,Pierre Jean Gallo,,6,14,8,9,9,9,15*,16*,15,14,11,126,95,12
FRA,8954,Muriel Jeanne,Franck Agrapart,,14,12,5,21*,12,16,16,10,14,7,17*,144,106,13
FRA,8870,Christian Silvestre,Nicolas Auberger,,12,13,17,15,10,15,8,19*,19*,16,9,153,115,14
FRA,9019,Veronique Brenet,Jean-Pierre Peter,,11,15,16,16,17*,11,10,17,11,21*,16,161,123,15
BEL,8553,Paul Gorremans,Pierre Gorremans,,16,16,15,27*,19,23*,21,13,12,15,10,187,137,16
SUI,9060,Catherine Houriet,Gil Donze,,21,20,21,11,14,18,18,9,22*,10,24*,188,142,17
BEL,8625,Kim Van Assche,Lien Van Assche,,19,19,13,6,22*,22,14,21,16,19,23*,194,149,18
FRA,9075,Loic Bleuez,Frederic Roucayrol,,20,18,19,22,20,8,17,32 OCS*,23*,5,21,205,150,19
FRA,9086,Elisabeth Neidhart,David De Monteil,,17,22,12,32 OCS*,18,12,19,14,17,*,19,210,150,20
GER,8513,Thomas Wilbert,Peter Wilbert,,22,9,23,10,32 OCS*,21,26,15,18,27*,14,217,158,21
FRA,8729,Eric Basset,Jordane Lafortune,,18,24,22,19,13,26,23,25,21,29*,28*,248,191,22
FRA,9068,Francois De Lisle,Marc Desjuzeur,,27*,23,20,24,21,24,25,32 OCS*,26,17,18,257,198,23
FRA,8002,Jean Philippe Artielle,Antoine Delagrange,,24,21,27*,23,26*,25,24,20,25,18,20,253,200,24
FRA,9024,Kleber Valery,Eric Valery,,25,28,26,8,24,19,22,32 DNF*,20,32 DNF*,29,265,201,25
FRA,9064,Philippe Vandersteen,Yhéo Geeraerts,,23,26,24,26,25,20,28*,23,30*,26,22,273,215,26
BEL,8950,Eric Quemard,Nicolas Picquerey,,26,29*,25,18,23,29*,27,24,24,25,27,277,219,27
FRA,8902,Jean Charles Zimmowitch,Jerome Zimmowitch,,28,27,28,25,29*,28,20,22,28,23,32 DNS*,290,229,28
FRA,9010,Gilles Carvallo,Eric Le Morvan,,29*,25,29,29,27,27,30*,27,27,20,26,296,237,29
FRA,8461,Marine Delagrange,Vincent Le Morvan,,30*,30*,30,28,28,30,29,26,29,24,25,309,249,30
FRA,9031,Philippe Lucienne,Vivien Lucienne,,32 DNF*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,32 DNC*,352,288,31
