Nation,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Boat,Total,Pos
USA,8084,Aaron Ross,,Santa Cruz Yacht Club,1,1,2,Rob's Old Boat,4,1
USA,7875,Harrison Turner,,St. Francis YC,2,2,1,Oxford Comma,5,2
USA,7886,Segah Meer,,Santa Cruz Yacht Club,4/DNC,4/DNC,4/DNC,,12,3
