Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Total,Pos
USA,9106,Mike Martin,Adam Lowry,,[1],1,1,1,1,1,1,1,1,1,1,10,1
USA,8782,Kevin Taugher,Blaine Pedlow,,3,2,2,3,2,[6],2,2,4,6,2,28,2
USA,8823,Mats Elf,Eric,,2,3,5,[DNS],6,4,3,4,2,3,3,35,3
USA,8084,Aaron Ross,Rob Waterman,,4,4,4,5,7,[9],5,5,6,4,7,51,4
USA,8824,David Chatham,Ben Glass,,[DNS],DNS,3,2,5,3,4,3,5,RET,RET,55,5
USA,9116,Katherine Long,Pat Diola,,5,5,6,[DNS],8,5,6,8,7,2,4,56,6
USA,8616,Lee Laney,Josh Dyck,,[DNS],DNS,7,4,3,2,DNF,6,9,7,5,63,7
USA,7156,Erik Coburn,Gabe Hill,,[DNS],DNS,DNS,DNS,9,8,7,7,3,5,6,75,8
USA,7153,Colin Dunphy,Alex Simanis,,[DNS],DNS,DNS,DNS,4,7,8,9,8,8,8,82,9
