Nation,Sail NO,Skipper,Crew,Yacht Club,2,3,4,5,6,7,8,9,10,11,Boat  ,Total,Pos
USA,8830,Andrew Buttner   ,,NESS  ,1,2,2,2,1,2,1,2,[3]  ,2,Kokatat  ,15,1
USA,9138,Tyler Moore   ,,HYC/WYC/CYC  ,4,4,3,[7]  ,4,1,6,1,1,1,TEAM ROOSTER  ,25,2
USA,9095,Macy Nelson,,West River Sailing Club  ,2,1,1,3,3,3,4,[6]  ,5,6,Highway 95 Revisited  ,28,3
USA,8854,Craig Thompson   ,,Kittery Point Yacht Club  ,[7]  ,3,7,4,2,5,3,3,2,5,None  ,34,4
USA,8821,Michael Komar   ,,Newport  ,3,5,4,1,5,[10]  ,2,7,7,3,  ,37,5
USA,9005,Thomas Kivney   ,,Hingham Yacht Club  ,5,6,5,5,[9]  ,8,5,4,4,7,Katiebear  ,49,6
USA,8808,Ben Greenfield   ,,Saunderstown Yacht Club  ,10,10,8,8,[11]  ,4,9,5,8,4,  ,66,7
USA,8913,Dan Herlihy   ,,Fishing Bay YC  ,9,8,6,6,[10]  ,9,10,8,10,8,  ,74,8
USA,8888,Whitney Duncan   ,,Sail Newport  ,6,[12/DNF]  ,12/DNC  ,10,6,7,7,11,9,9,None  ,77,9
USA,9095,Curtis Hartmann   ,,Eastport Yacht Club  ,11,7,9,11,8,6,11,9,6,[12/DNF]  ,Boat  ,78,10
USA,8018,Duane Delfosse   ,,LSYC  ,8,9,10,9,7,[11]  ,8,10,11,10,Sol's Boat  ,82,11
