Place,Sail #,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place,Drop
USA,8830,Mark Zagol,Drew Buttner,,5,4,1,2,6*,1,19,13,1,6
USA,8715,Ethan Bixby,Chris Brady,,2,3,10*,4,3,2,24,14,2,10
USA,8808,Augie Diaz,Rob Woelfe,,3,2,2,5,8*,6,26,18,3,8
USA,9095,Macy Nelson,Reeve Dunne,,6,8*,6,3,1,3,27,19,4,8
USA,9138,Tyler Moore,Patrick O’Brien,,8*,5,4,1,4,5,27,19,5,8
USA,8838,Mike Holt,Carl Smit,,1,7*,3,6,5,7,29,22,6,7
USA,8722,Nick Nelson,Kelsey Averil,,9,1,5,9,9,10*,43,33,7,10
USA,9041,Henry Amthor,Dustin Romey,,7,12*,8,8,2,8,45,33,8,12
USA,8851,Amie Heubner,Ted Heubner,,11,6,14*,7,7,4,49,35,9,14
USA,8814,Lin Robson,Stephen Long,,4,9,9,12*,11,12,57,45,10,12
USA,7346,Andrew Jones,Jesse Falsone,,14*,13,7,11,12,9,66,52,11,14
USA,7879,Lauren Schoene,Alexander Meller,,10,10,13,15*,10,11,69,54,12,15
USA,8822,David Burchfiel,Andy Forman,,12,11,12,10,13*,13,71,58,13,13
USA,8593,Nathaniel Plant,Shelia Plan,,13,14*,11,13,14,14,79,65,14,14
