Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
USA,8830,Andrew Buttner,,Kokatat,3,1,1,1,2,[5],2,10,1
USA,8852,Ben Greenfield,,USA8852,1,2,2,3,[5],3,3,14,2
IRL,8987,Peter Scannell,,Lookadatla,[8],7,3,4,1,1,5,21,3
USA,9005,Thomas Kivney,,Katiebear,2,3,[6],5,3,4,4,21,4
USA,9003,Jesse Falsone,,Toxic Asset,4,5,4,6,[8],2,1,22,5
USA,8930,Sol Marini,,Marini,5,[13],12,2,6,7,7,39,6
USA,8854,Craig Thompson,,USA 8854,7,8,5,[9],4,6,9,39,7
USA,8821,Sam Monroe,,USA 8821,[10],4,7,8,7,8,6,40,8
USA,8850,Doug Watson,,Dr. Crash,9,6,10,[11],9,10,11,55,9
USA,8851,Ted Huebner,,USA 8851,[11],11,9,7,11,9,8,55,10
USA,8939,John Wyles,Gareth Fletcher,Silver Seahorse,6,10,11,10,10,11,[12],58,11
USA,7197,David Neal,,Matilda,13,12,13,15/DNS*,12,12,10,72,12
USA,7685,Bill Platt,,Boat,12,9,8,15/DNC*,15/DNC,15/DNC,15/DNC,74,13
USA,8265,Thomas Hurwitch,,Strega Partners Racing,15/DNC*,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,90,14
