Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
USA,9080,Howard Hamlin,Andy Zinn,NHYC,1,1,-7,1,1,5,2,18,11,1
USA,9115,Mike Holt,Rob Woelfel,Santa Cruz YC,3,2,-5,2,3,1,3,19,14,2
USA,9106,Mike Martin,Adam Lowery,StFYC / NHYC,2,3,1,3,4,2,-6,21,15,3
USA,90801,Kevin Taugher,Don Smith,ABYC,6,-7,2,4,5,4,1,29,22,4
USA,8681,Ryan Cox,Garrett Baum,VYC,4,5,4,-6,2,3,4,28,22,5
USA,9082,Jeff Miller,Pat Diola,Santa Cruz YC,5,4,3,5,6,-12,5,40,28,6
USA,8680,Douglas Hagan,Paul Von Grey,Paia Bay SUP Club,7,6,11,7,(18 OCS),6,8,63,45,7
CAN,8970,Robert Tennant,Rich Mudell,RVicYC,9,-15,12,9,11,7,7,70,55,8
USA,9027,Pierre Jeangirard,Antoine Laussu,WLYC,-14,9,9,12,12,8,10,74,60,9
USA,8878,Edward Conrads,David Kenny,St. Francis,8,14,6,10,10,(18 DNC),18 DNC,84,66,10
USA,910,Jeffrey Condon,Reeve Dunne,NHYC,10,8,10,13,7,(18 DNC),18 DNC,84,66,11
USA,9083,Rob Waterman,Aaron Ross,Alamitos Bay YC,11,11,14,8,8,(18 DNC),18 DNC,88,70,12
USA,7152,Gary Lee,Dan Downing,Mission Bay,12,12,-13,11,9,13,13,83,70,13
USA,9004,Eben Russell,Brendan Teague,MPYC,15,10,15,-17,13,9,12,91,74,14
USA,7153,Colin Dunphy,Max Thayer,CYC Seattle,13,16,-17,16,15,11,9,97,80,15
USA,7069,Christopher Oleary,Chris Burlsion,Byc,-16,13,16,14,16,10,11,96,80,16
USA,6991,Channing Hamlet,Karl Liebat,Mission Bay Yacht Club,17,17,8,15,14,(18 DNC),18 DNC,107,89,17
