Country,Sail No,Helm,Crew,Category,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points [1 drop],Place
GBR,8960,Ian Pinnell,Carl Gibbon,Male,1,2,4,2,4,[9],13,1
USA,8762,Howard Hamlin,Andrew Zinn,Male,[56],1,6,11,5,7,30,2
GER,8957,Wolfgang Hunger,Julien Kleiner,Male,4,3,[18],6,15,12,40,3
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Male,5,15,3,[54],3,19,45,4
DEN,8964,Jan Saugmann,Morten Ramsbæk,Male,10,6,15,20,2,[27],53,5
USA,8714,Mike Martin,Jeffrey Nelson,Male,6,18,[35],13,6,11,54,6
GER,8721,Malte Christophessen,Sebastian Salein,Male / under 25,7,9,12,[41],26,5,59,7
AUS,8817,Nick Davis,Michael Duffield,Male,12,4,27,8,[28],13,64,8
GER,8693,Michael Daisenberger,Florian Lautenschläger,Male / under 25,21,11,19,[48],16,2,69,9
GER,8651,Christian Kellner,Martin Schöler,Male,15,[35],20,7,23,4,69,10
AUS,8920,Michael Quirk,Simon Reffold,Male,45,[124 DNF],5,3,9,10,72,11
DEN,8826,Tom Bøjland,Anders Friis,Male,9,29,1,18,[61],21,78,12
GER,8728,Meike Schomäker,Rainer Görge,Mixed,2,27,14,10,34,[55],87,13
GER,8927,Martin Görge,Hans-Heinrich Rix,Male,29,7,31,21,1,[48],89,14
USA,8883,Tyler Moore,Jesse Falsone,Male,8,14,42,4,22,[60],90,15
SUI,8954,Florian Stauffer,Philippe Jacot,Male,24,25,8,29,7,[46],93,16
GER,8875,Jens Findel,Johannes Tellen,Male,31,5,[47],40,18,1,95,17
AUS,8840,Kevin Cameron,Matt Bowden,Male,30,[124 DNF],7,16,20,22,95,18
SUI,8543,Cédric Bart,Marti Ueli,Male,13,21,2,24,38,[124 DSQ],98,19
GER,8947,Volker Niediek,Stefan Heising,Male,22,16,9,[44],25,26,98,20
USA,8715,Ethan Bixby,Erik Boothe,Male,17,23,30,1,31,[44],102,21
USA,8830,Ramsay Key,Andrew Buttner,Male,[52],26,32,12,19,15,104,22
GER,8751,Nicola Birkner,Angela Stenger,Female,11,10,24,39,[124 DSQ],24,108,23
GER,8975,Dietrich Scheder-Bieschin,Holger Jess,Male,3,20,34,42,13,[47],112,24
USA,8919,Tom Gosch,Douglas McKeigh,Male,34,19,25,9,29,[40],116,25
FIN,8466,Sampsa Hyysalo,Antti Salonen,Male,[65],12,11,26,27,43,119,26
ITA,8916,Enrico Ciferri,Gabriele Natali,Male,38,13,40,15,21,[53],127,27
GBR,8835,Charles Walters,Dougal Cram,Male,19,34,[39],31,30,14,128,28
GER,8958,Stefan Köchlin,Andréas Achterberg,Male,14,[124 DSQ],21,36,50,8,129,29
GER,8807,Claas Lehmann,Leon Oehme,Male,23,[41],17,35,35,23,133,30
FIN,8923,Joonas Lindgren,Michael Wolontis,Male,[40],36,13,19,32,34,134,31
GBR,8526,Tim Bird,Richard Nurse,Male,50,[124 DNF],28,37,17,6,138,32
USA,8937,Kevin Taugher,Jon Bell,Male,54,[124 DNF],37,5,45,3,144,33
GER,8720,Lennart Tasche,Frederik Tasche,Male / under 25 / under 21,37,17,16,[74],11,68,149,34
GER,8672,Karsten Contag,Guido von Walter,Male,33,8,62,17,[79],32,152,35
AUS,8801,Peter Chappell,Sam Gill,Male,35,[124 DNF],22,34,10,59,160,36
IRL,8961,Ewen Barry,Charles Dwyer,Male,18,24,[52],32,40,51,165,37
FRA,8900,Serge Gubri,Thibault Di Pède,Male,25,30,[46],46,37,31,169,38
USA,8822,Mike Holt,Edwards,Male,55,[124 DNF],45,33,46,18,197,39
GER,8669,Tim Böger,Markus Schöner,Male,47,[124 DNF],10,25,52,65,199,40
USA,7875,Jeff Miller,Mike Smith,Male,67,22,[89],27,41,42,199,41
GER,8599,Florian Duwe,Marc Helms,Male,16,[124 DNF],44,47,53,41,201,42
GER,8580,Frank Weigelt,Robert Henning,Male,[72],33,49,59,39,25,205,43
FRA,8844,Xavier Broise,Nicolas des Jamonières,Male,26,[124 DNF],33,65,36,45,205,44
GBR,8935,Russell Short,Andrew Short,Male,20,37,36,49,[70],64,206,45
AUS,8922,Bill Cuneo,John Warlow,Male,43,38,56,43,[83],29,209,46
DEN,8828,Jon Andersen,Lasse Andersen,Male,57,[124 DNF],41,78,8,28,212,47
GER,8965,Hasso Plattner,Peter Alarie,Male,58,[124 DNS],23,30,63,39,213,48
AUS,8921,Nigel Lott,Robert Franks,Male,53,39,57,28,[67],37,214,49
GBR,8881,Terry Scutcher,Christian Diebitsch,Male,32,[124 DNF],38,14,12,raf,220,50
SUI,8613,Gilles Petermann,Laurent Grob,Male,61,[124 DNF],43,63,14,50,231,51
GBR,8701,Robert Napier,Malcolm 'Pip' Pearson,Male,28,[124 DNF],65,64,33,54,244,52
AUS,8853,Carter Jackson,Peter Holden,Male,59,[124 DNF],74,22,71,20,246,53
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,Male,60,[124 DNF],26,55,42,63,246,54
GBR,8905,Stuart Turnbull,Jason Lunn,Male,64,42,59,23,66,[78],254,55
AUS,8968,Hansen-Knarhoi,Patrick Atwell,Male,70,31,50,38,[72],70,259,56
FRA,8270,Claude Gachet,Kleber Valery,Male,44,[124 DNF],53,50,78,36,261,57
FRA,8950,Hervé de Kergariou,Laurent Camusson,Male,71,[124 DNF],55,56,58,30,270,58
IRL,8514,Peter Scannell,Pal O'Sullivan,Male,42,[124 DNF],29,45,65,96,277,59
GER,8775,Alexander Holzapfel,Carsten Engel,Male,68,28,76,77,[100],33,282,60
FRA,7771,Bertrand Loyal,Xavier deTappe,Male,27,[124 DNS],66,53,62,76,284,61
FRA,8748,Franck Agrapart,Franz Agrapart,Mixed,49,[124 DNF],69,69,43,62,292,62
GER,8825,Michael Troch,Eckart König,Male,89,[124 DNF],51,51,44,61,296,63
GBR,8708,Martin Goult,Gordon Russell,Male,79,[124 DNF],48,67,56,56,306,64
USA,8831,Pierre Jeangirard,Paul von Grey,Male,62,[124 DNF],63,75,51,58,309,65
FIN,8768,Jukka Nieminen,Kari Lehtonen,Male,93,[124 DNF],75,61,24,69,322,66
GER,8929,Jürgen Waldheim,Robert Bussenius,Male,48,[124 DNF],85,87,69,35,324,67
FIN,8924,Raimo Raita,Juha Nurmela,Male,[95],40,84,72,57,77,330,68
ITA,8097,Giovanbattista Bosio,Marco Superina,Male,36,[124 DNF],54,79,73,91,333,69
FRA,8949,Jan Florian Faucheux,Laurent Duquesne,Male,69,[124 DNF],77,58,48,85,337,70
FRA,8321,Laurent Nevo,Fabrice Bouton,Male,99,[124 DNF],72,66,87,16,340,71
GER,8956,Jan Forster,Marcus Neuß,Male,75,[124 DNS],61,71,64,74,345,72
FRA,8895,Matthieu Devaux,Philippe Dubuc,Male,39,[124 DNF],88,52,81,87,347,73
FIN,8057,Kaj Lindfors,Johan Halonen,Male,74,[124 DNF],86,76,82,38,356,74
POL,8358,Marcin Józefowski,Jacek Barankiewicz,Male,51,[124 DNF],64,57,97,92,361,75
AUS,8781,Earle Alexander,Ian Gregg,Male,97,[124 DNF],87,60,60,67,371,76
AUS,8588,Mark Stowell,Scott Bailey,Mixed,66,[124 DNF],81,80,92,57,376,77
AUS,8855,Mark Stowell,Scott Bailey,Male,84,[124 DNF],60,73,99,75,391,78
GER,8513,Kilian König,Johannes Brack,Male,63,[124 DNF],73,93,74,90,393,79
ITA,8743,Marco Giraldi,Paolo Corbellini,Male,85,32,[124 DNS],101,80,102,400,80
FRA,8402,Loïc Bleuez,Frederic Roucayrol,Male,78,[124 DNF],82,82,76,82,400,81
USA,8441,Olav Schluter,Andreas Schulter,Male,46,[124 DNF],80,86,109,80,401,82
AUS,8501,Finch,Shiner,Male / under 25 / under 21,105,[124 DNF],71,81,75,71,403,83
GBR,8955,Benjamin Iliffe,Simon Lake,Male,80,[124 DNF],83,92,49,109,413,84
FIN,8053,Petri Ebeling,Juhani Heimsch,Male,73,[124 DNF],101,70,54,124 DNS,422,85
GER,6816,Andréas Jungclaus,Bruno Laudage,Male,82,[124 DNS],67,83,102,93,427,86
IRL,8679,Alex Barry,Andrew Lane,Male / under 25,83,[124 DNF],97,90,59,99,428,87
USA,8904,Hubert Guy,Philip Toth,Male,91,[124 DNF],108,108,107,17,431,88
POL,8130,Jarosław Grabowski,Michał Olko,Male,94,[124 DNF],78,62,94,105,433,89
POL,8416,Przemek Zagórski,Piotr Juckiewicz,Male,77,[124 DNF],98,89,104,66,434,90
IRL,8542,Ronan Kenneally,John Dunlea,Male,41,[124 DNF],100,100,88,114,443,91
AUS,8185,Paul Ridgway,Aaron Ross,Male,98,[124 DNF],124 DNS,85,55,81,443,92
FRA,8847,Michel Boiry,Matthieu Gougeon,Male,86,[124 DNF],92,94,98,73,443,93
AUS,8893,Jeffrey Robinson,Bryce Penfold,Male,87,[124 DNF],68,91,95,104,445,94
GER,8772,Julia Tanner,Lukas Tanner,Mixed,102,[124 DNF],91,68,89,98,448,95
GER,8744,Lutz Kandzia,Martin Deutscher,Male,96,[124 DNF],70,111,93,89,459,96
ITA,8127,Marco Gambardella,Roberto Candela,Male,81,[124 DNF],111,99,86,83,460,97
GBR,8497,Arthur George,Dennis Cartwright,Male,108,[124 DNF],58,110,96,97,469,98
GER,8598,Alexander von Mertens,Antje von Hoyer,Mixed,109,[124 DNS],112,96,47,107,471,99
GER,8712,Siegfried Labenz,Christian Labenz,Male,106,[124 DNF],105,88,90,86,475,100
AUS,8628,Peter Croft,Gary Rushton,Male,114,[124 DNS],90,119,108,52,483,101
ITA,8882,Pablo Gallo,Roberto Loce,Male,101,[124 DNF],79,124 DSQ,85,95,484,102
ITA,8944,Luca Manzi,Alfredo Annese,Male,120,[124 DNF],95,118,68,84,485,103
GER,8862,Dirk Hänsgen,Frank Rupprich,Male,113,[124 DNF],102,103,91,79,488,104
AUS,8278,Luke Payne,Edmonston-Fearn,Male,90,[124 DNF],93,113,77,124 DNF,497,105
AUS,8498,Derick Warne,Ian Scholes,Male,88,[124 DNF],94,102,112,101,497,106
GER,8370,Karsten Stümpel,Ute Stümpel,Mixed,103,[124 DNF],116,114,120,49,502,107
GER,8433,Jürgen Anton,Ulf Denecke,Male,92,[124 DNF],107,98,105,111,513,108
GBR,8907,Jim Berry,David Barnes,Male,115,[124 DNS],103,95,84,118,515,109
GER,8500,Christian Henge,Matthias Fedde,Male,117,[124 DNF],104,97,103,94,515,110
GER,8730,Enno Wilts,Thorge Holm,Male,76,[124 DNF],106,107,119,108,516,111
