Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
USA,8715,Ethan Bixby,Erik Boothe,,12,2,1,1,2,1,19,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,1,1,3,2,3,11,21,,2
USA,8762,Howard Hamlin,Andrew Zinn,NHYC,5,9,10,6,1,2,33,,3
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,4,15,4,4,5,31,63,,4
GBR,8960,Ian Pinnell,Carl Gibbons,GWSC,2,3,15,12,11,5,48,,5
USA,8830,Ramsay Key,Drew Buttner,,8,7,8,15,4,7,49,,6
DEN,8826,Tom Bøjland,Anders Friis,Farum,13,4,9,7,17,8,58,,7
GER,8927,Martin Görge,Hans-Heinrich Rix,TSVS,11,OCS 70,11,3,14,6,115,,8
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,DNC 70,8,2,16,8,12,116,,9
IRL,8961,Ewen Barry,Charles Dwyer,,9,13,25,14,10,4,75,,10
AUS,8817,Clive R. Davis,Michael Duffield,Largs,17,10,16,13,13,3,72,,11
USA,8937,Kevin Taugher,Trip,,10,29,5,9,19,16,88,,12
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,6,18,7,26,6,32,95,,13
USA,7875,Jeff Miller,David Bell,,3,12,12,18,24,22,91,,14
GER,8651,Christian Kellner,Martin Schöler,HSC,18,14,13,19,16,10,90,,15
GBR,8935,Russell Short,Andrew Short,Burton,30,16,22,10,9,17,104,,16
AUS,8801,Peter Chappell,Ian Davidson,,34,19,30,5,18,14,120,,17
USA,8883,Tyler Moore,Jesse Falsone,,DNC 70,17,27,11,12,21,158,,18
AUS,8922,Bill Cuneo,Luke White,,33,38,20,8,7,27,133,,19
AUS,8920,Michael Quirk,Simon Reffold,MHYC,26,21,23,22,25,18,135,,20
DEN,8828,Lasse Andresen,Jan Andresen,,16,31,18,27,30,33,155,,21
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,24,25,17,45,36,20,167,,22
GBR,8381,Earle Alexander,Ian Gregg,RQYS,23,27,26,24,29,24,153,,23
USA,8831,Pierre Jeangirard,Paul Von Grey,WINSA,21,28,28,46,23,26,172,,24
GER,8672,Karsten Contag,Guido von Walter,SCLW,14,23,14,DNC 70,DNC 70,9,200,,25
FIN,8057,Jukka Lindfors,Johan Halonen,,15,36,19,38,32,36,176,,26
FIN,8768,Jukka Nieminen,Jukka Hyvarinen,,37,5,42,37,48,23,192,,27
FIN,8924,Raimo Raita,Juha Nurmela,1.05.1971,40,26,24,29,37,43,199,,28
AUS,8855,Mark Stowell,Anthony Dean,,52,33,29,21,31,47,213,,29
AUS,8840,Kevin Cameron,Jeremy Manders,,19,43,6,OCS 70,22,DNF 70,230,,30
