Nation,Sail/Bow,Skipper,Crew,Club,1=,2=,3=,4=,5=,Total Points,Pos
USA,7200,Alexander Meller,,,1,3,2,2,3,11,1
USA,6987,Lauren Abramson,Kirby,,3,4,3,3,2,15,2
USA,8643,Barney Harris,Mike Nunes,,9,1,1,1,4,16,3
USA,7346,John Hauser,Mike Albert,,6,5,5,4,1,21,4
USA,7776,Bob O'Brien,Arnaud Lucas,,4,2,6,9,5,26,5
USA,8261,Bill Heintz,Laura Seuschek,,5,6,7,5,7,30,6
USA,8610,Steve Cherry,,,8,7,8,6,6,35,7
USA,8722,Macy Nelson,Latane Montague,,2,11/DNF,4,11/DNC,11/DNS,39,8
USA,7876,Steve Lieberman,,,7,8,9,8,11/DNS,43,9
USA,8735,Dustin Romey,Kevin Mehaffey,,11/DNC,11/DNC,11/DNC,7,11/DNS,51,10
