Naiton,Boat NO,Driver,Tactician-crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8643,Barney Harris,Clayton James,,1,1,1,6,2,11,1
USA,,Alexander Meller,Steve Sparkman,,2,2,2,2,3,11,2
USA,8012,Henry Amthor,Barb Amthor/Doug Amthor,,3,3,4,3,1,14,3
USA,8629,Tyler Moore,Richard Winters,,4,9,3,1,5,22,4
USA,,Sterg Papadakis,Mike Albert,,5,4,5,4,4,22,5
USA,7346,John Hauser,Marc Hoecker/Steve Adams,,7,6,7,5,6,31,6
USA,,Peter Mignerey,Steve Adams/Pat Gundlach,,6,7,9,7,8,37,7
USA,8015,Adam Samnis,Monty Schumpert,,8,8,8,8,7,39,8
USA,,Bob O'Brien,Betsy O'Brien,,9,5,6,11,11,42,9
USA,,Greg Schuster,Joe,,10,10,10,11,11,52,10
