Nation,Sail,Skipper,Crew,Club,R1,R2,R3,R4,R5,Overall,Place
USA,8762,D. Thompson,A. Zinn,NHYC,1,2,2,1,1,5,1
USA,7771,A. Beeckman,B. Benjamin,NHYC,3,1,1,2,2,6,2
USA,7873,N. Adamson,A. Norman,RYC,2,5,3,5,3,13,3
USA,8731,T. Lieb,P. Kerner,,5,3,4,3,6,15,4
USA,6991,B. Jenkins,D. Merino,MBYC,4,4,5,4,5,17,5
USA,7069,J. Meade,D. Byron,,6,6,6,6,4,22,6
USA,8024,S. Schnelker,G. Nelson,MBYC,7,11,9,7,8,31,7
USA,6934,M. Fialas,C. Stomberg,MBYC,DSQ,7,7,8,10,32,8
USA,6931,B. McKinney,K. Liebat,MBYC,8,8,8,11,9,33,9
USA,7773,J. Billings,J. Billings,MBYC,9,9,11,10,DNC,39,10
RSA,5326,R. Woodcock,M. Kurzava,MBYC,10,10,10,12,11,41,11
USA,8494,C. Jenkins,D. Downing,SDYC,DNC,DNC,DNC,9,7,46,12
USA,5687,M. Jue,M. Winger,,11,12,12,14,13,48,13
USA,8616,N. Iakovou,C. Shand,MBYC,DNC,DNC,DNC,13,12,55,14
