Nation,Sail NO,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Boat,Total Points,Pos
USA,8012,Henry Amthor,Doug Amthor,HYC,1,[3],3,1,3,1,,,9,1
USA,8722,Macy Nelson,Jesse Falsone,WRSC,2,1,2,[3],1,3,,,9,2
USA,8643,Barney Harris,Clayton James,WRSC/111442,[3],2,1,2,2,2,,Tossed Salad,9,3
USA,8018,Stergios Papadakis,Joe Perez,,4,[6],5,5,4,6,,,24,4
USA,6985,Mike Breton,Dylan Breton,,5,5,[9/DNS],7,5,4,,No Surrender,26,5
USA,8735,Dustin Romey,Kevin Mehaffey,SSA,[9/DNS],4,9/DNF,4,6,5,,,28,6
USA,7876,Steve Lieberman,Josh Lieberman,SSA,6,7,4,[8],8,7,,Mean 7,32,7
USA,8610,Steve Cherry,Matthieu Paindavouie,SSA,7,[9/DNF],9/DNF,6,7,8,,,37,8
