Country,e Identif,Helm,Crew,Club  ou  Pays,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Co. 6,Co. 7,Co. 8,Co. 9,Boat Name,Pts Tot,Pts Ret,Plac
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,FFVOILE,3,[4],1,3,1,1,1,3,1,,18,14,1
GBR,9238,Ian Pinnell,Alex Davies,,1,5,6,6,3,[7],2,5,4,OH LA LA,39,32,2
USA,8474,Howard Hamlin,Ian Mitchell,,9,1,7,1,[14],2,6,2,6,Patten SS,48,34,3
GER,9198,Julian Stueckl,Johannes Tellen,FFVOILE,[15],2,4,8,5,3,3,1,8,,49,34,4
AUS,9210,Quirk Michael,Charles Dwyer,,2,8,2,5,7,5,4,10,[11],Strange and Unusual,54,43,5
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,10,3,10,2,2,4,12,[15],7,,65,50,6
GER,9231,Stefan Giesler,Frank Boehm,FRANCE,13,12,11,4,8,14,8,7,[17],,94,77,7
GER,9182,Alexander Holzapfel,Arne Wittemer,,6,11,8,14,[17],12,5,13,10,Le vin nous portera,96,79,8
GER,9185,Stefan Boehm,Gerald Roos,FFVOILE,21,6,9,[25],6,6,7,8,16,,104,79,9
GER,9169,Tim Böger,Finn Böger,,5,10,15,11,19,10,14,[24],2,Fletec.io,110,86,10
GER,9090,Christian Kellner,Martin Schöler,,18,14,3,13,9,8,[19],14,14,Bunga 2,112,93,11
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,4,17,13,12,[23],13,11,17,9,,119,96,12
USA,9247,Mike Punnett,Paul von Grey,,[19],15,14,7,4,DNE 34,18,6,5,Carole's Boat,122,103,13
FRA,9147,Hervé De Kergariou,Guillaume De Kergariou,,16,20,20,16,15,[22],15,4,3,Bonnie,131,109,14
GER,91,Sophie Söllner,Achterberg Andreas,FFVOILE,8,7,[DNF 34],10,11,9,21,20,23,,143,109,15
GER,9197,Nicola Birkner,Angela Stenger,,20,[RET 34],19,19,16,11,10,9,12,Bikini Atoll,150,116,16
SUI,9096,Bart Cédric,René Betschen,,25,9,17,9,13,[26],16,21,19,AXOU,155,129,17
GER,919,Alexander Swade,Patrick Treichel,FFVOILE,11,16,5,15,12,16,22,[DNS 34],DNS 34,,165,131,18
GER,9131,Jörn Wille,Martin Bergman,FFVOILE,7,23,18,17,[26],20,17,16,18,,162,136,19
FRA,9219,Elisabeth Neidhart,Gallo Pierre Jean,Y C ILE DE FRANCE,12,[28],26,21,18,18,13,23,21,,180,152,20
GER,9256,Jens Biederer,Thomas Wasilewski,,14,[RET 34],25,22,21,RET 34,20,12,15,Schwertakrobaten,197,163,21
GER,9133,Frieder Achterberg,Wolfgang Stuekl,,24,13,12,20,10,17,[DNS 34],DNS 34,DNS 34,Ramme IV,198,164,22
SUI,9060,Catherine Houriet,Giles Donzé,,28,24,21,18,[31],25,26,11,13,Patience,197,166,23
FRA,8870,Silvestre Christian,Aline Martin,Y C ILE DE FRANCE,27,22,23,26,[28],24,9,19,20,,198,170,24
GER,9113,Joseph Schütte,Karsten Stümpel,FFVOILE,17,25,22,23,[29],19,24,22,25,,206,177,25
FRA,9067,Bertrand Commeil,Louis Commeil,Y C CARNAC,22,19,16,[30],27,21,28,25,24,,212,182,26
BEL,9121,Paul Gorremans,Mme Gorremans,FRANCE,26,18,27,27,[33],27,25,18,22,,223,190,27
FRA,9045,Guillou Nicolas,Alban Viaud,S N P H,23,21,24,[28],22,28,23,27,26,,222,194,28
FRA,9150,Valentin Dechauffour,Pierre Gendry,,29,26,28,29,20,15,[32],29,30,Ke Atao / Pulsar,238,206,29
BEL,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,FRANCE,[31],27,29,31,24,23,27,28,28,,248,217,30
GBR,9261,Martin Wedge,Graham Elliot,,30,[RET 34],DNF 34,24,25,DNS 34,31,26,27,Eric,265,231,31
FRA,8943,Philippe Markt,Yves Niddam,C N Saint-Raphael,32,29,[DNF 34],32,30,29,30,30,31,,277,243,32
FRA,9175,Caminade Francois,Emmanuel Binder,,33,30,30,33,32,[RET 34],29,31,29,Tchatabic,281,247,33
