Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
FRA,9220,Boite Philippe,Carnot Marin,CVSQ / CVSQ,1,3,1,3,1,1,10,7,1
FRA,8870,Martin Aline,Doumic Augustin,Y C ILE DE FRANCE / S N TRINITE S/MER,3,1,5,2,4,2,17,12,2
FRA,9211,Chapelin Gilles,Chapelin Christian,C V BORDEAUX C M / CVML,2,2,3,1,8,4,20,12,3
FRA,9219,Neidhart Elisabeth,Gallo Pierre Jean,Y C ILE DE FRANCE / CVSQ,7,7,2,5,2,DNF 21,44,23,4
FRA,9147,De Kergariou Herve,Ancelot Jean Claude,ASN QUIBERON / ASN QUIBERON,6,5,8,4,5,7,35,27,5
FRA,9019,Brenet Veronique,Jean-Pierre Peter,A C D'ALSACE LORRAIN / A C D'ALSACE LORRAIN,5,11,4,14,3,5,42,28,6
FRA,,Thibault Morel,Matthieu Morel,C V JULLOUVILLE / C V JULLOUVILLE,4,6,6,10,9,DNF 21,56,35,7
FRA,9076,Gubri Serge,Nicolas Radier,C V SEINE-PORT / C N TREGASTEL,10,4,7,8,7,DNF 21,57,36,8
FRA,9045,Guillou Nicolas,Viaud Alban,S N P H / C N B P P,8,8,11,7,6,8,48,37,9
FRA,8870,Silvestre Christian,Rene Stanislas,Y C ILE DE FRANCE / LES GLENANS,11,12,14,6,17,3,63,46,10
FRA,9031,Philippe Lucienne,Lucienne Vivien,S.R.C. Sud-Oise / S.R.C. Sud-Oise,17,10,9,11,11,6,64,47,11
FRA,9150,Dechauffour Valentin,Gendry Pierre,C N LORIENT / S N O NANTES,9,13,12,12,13,RET 21,80,59,12
FRA,9164,Dechauffour Jacques,Dechauffour Sabine,ASN QUIBERON / ASN QUIBERON,15,9,15,9,15,DNF 21,84,63,13
FRA,,Delacroix Guillaume,Decaudin Xavier,YC du CALAISIS / C V VALENCIENNES,14,14,10,15,10,DNF 21,84,63,14
FRA,,Delagrange Marine,Delagrange Antoine,C V SEINE-PORT / C V SEINE-PORT,12,16,13,13,12,DNF 21,87,66,15
FRA,,Michel Marion,Dechauffour Anais,C V A N NANTES / Y C ILE DE FRANCE,18,15,18,16,14,DNF 21,102,81,16
FRA,9163,Gorremans Pierre,Nuyts Bernard,,13,DSQj 21,17,17,18,DNF 21,107,86,17
FRA,,Victor Antoine,Eric Quemard,Y C ILE DE FRANCE / Y C ILE DE FRANCE,16,17,16,OCS 21,16,DNF 21,107,86,18
FRA,8895,Michel Laurent,Michel Canelle,C V A N NANTES / C V A N NANTES,19,18,19,18,19,DNF 21,114,93,19
FRA,9068,François de Lisle,Desjuzeur Marc,C N FERRET / C N RENNES,DNC 21,DNC 21,DNS 21,DNS 21,DNC 21,DNS 21,126,105,DNA 
