Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
SUI,8543,Cedric Bart,Veli Marti,CNB,3,4,1,2,2,1,13,,1
ITA,8916,Enrico Ciferri,Gabriele Natatli,,2,2,3,1,3,OCS 25,36,,2
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,1,1,7,DSQ 25,1,3,38,,3
FRA,8270,Claude Gachet,Florian Fort,YCG,5,5,2,4,7,13,36,,4
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,10,3,4,7,4,13,41,,5
SUI,8613,Gilles Petermann,Laurent Grob,BT/CNV,4,9,13,DSQ 25,5,2,58,,6
SUI,8614,M. Froideveaux,Valery Jacot,,7,6,5,9,6,16,49,,7
FRA,8748,Baptiste Lafortune,Gilles Carvallo,,11,8,14,3,9,9,54,,8
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,6,7,9,5,DSQ 25,17,69,,9
GER,8658,Christina Höll,Alexander Wilhelm,HSC,13,10,11,6,14,10,64,,10
FRA,7940,Francis Doerenbecher,Philippe Wolff,CNS,9,13,10,16,10,11,69,,11
BEL,8880,Geert De Pauw,Koen Jourquin,NWVN,17,12,6,10,16,15,76,,12
SUI,8729,Francois Aubort,Philippe Biedermann,,12,14,16,11,20,6,79,,13
SUI,8077,Catherine Houriet,Gilles Donze,,14,11,8,14,15,19,81,,14
FRA,8847,Michel Boiry,Francois Schluchter,CVP,18,17,18,12,11,7,83,,15
GER,8571,Uwe Hoffmann,Verena Hoffmann,WSVR,8,18,15,20,12,14,87,,16
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,16,15,17,15,17,18,98,,17
FRA,8676,Marcel Buffet,Charles Maire,CVP,15,16,12,17,22,21,103,,18
FRA,8427,Frédéric Monnier,Delphine Pauty,,DNC 25,DNC 25,DNC 25,13,8,12,108,,19
GER,8530,Alexander von Mertens,Frank Heimburger,StSC,DNC 25,DNC 25,DNC 25,8,19,8,110,,20
FRA,8711,Eric Quemard,Nicolas Coant,CVP,19,19,19,19,21,22,119,,21
FRA,8348,Mathieu Ingrand,Marie Agnes Catrix,,DNC 25,DNC 25,DNC 25,18,18,20,131,,22
FRA,8436,Samuel Carvallo,Gilles Carvallo,CNHS,DNC 25,DNC 25,DNC 25,21,23,23,142,,23
SUI,7559,Thierry Gafner,Jerome Vogel,,DNC 25,DNC 25,DNC 25,21,23,23,142,,24
