Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
DEN,0,Jørgen Schönherr,Anders Kæmpe,,,,,,,,9,1
DEN,8656,Jan Møller,Jacob Boisen-Møller,,,,,,,,11,2
DEN,8620,Jan Saugmann,Morten Ramsbæk,,,,,,,,13,3
SWE,8232,Ebbe Rosén,Olle Wendrup,,,,,,,,17,4
SWE,7343,Kalle Nilsson,Johan Barne,,,,,,,,24,5
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,,,,,,,,34,6
SWE,8719,Jakob Lindwall,Kalle Byrenius,,,,,,,,34,7
DEN,8622,Tom Bøjland,Ole Høyer,,,,,,,,38,8
DEN,8476,Per Larsen,Henrik Andersen,,,,,,,,41,9
DEN,8581,Jon Andersen,Lasse B. Andersen,,,,,,,,46,10
DEN,0,Anders Friis,Steen Ammentorp,,,,,,,,52,11
DEN,0,Adam Malling,Jesper Ernst,,,,,,,,52,12
DEN,0,Martin Friederichsen,Nicolai Hedegaard,,,,,,,,68,13
DEN,0,Christoffer Møllevang,Jacob Karbo,,,,,,,,74,14
,0,Kim Kristensen,Palle Wulf,,,,,,,,75,15
