Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
DEN,8620,Saugmann,Ramsbaek,,,,,,,,8,1
SWE,8655,Bergstrom,Moss,,,,,,,,14,2
DEN,8622,Bojland,Rohde,,,,,,,,17,3
DEN,8727,Shonherr,Kaempe,,,,,,,,21,4
GER,8725,Gosh,Meier,,,,,,,,24,5
GER,8670,Martin Görge,Rainer Görge,,,,,,,,26,6
SWE,8232,Rosen,Wenrup,,,,,,,,43,7
DEN,8082,Andreasen,Langendorf,,,,,,,,44,8
GER,8663,Peter Roocks,Sven Kurka,,,,,,,,45,9
DEN,8675,Fredsted,Hartvig,,,,,,,,46,10
SWE,8619,Mikael Ahrbom,Christiani,,,,,,,,51,11
DEN,8551,Jacob Ernst,Jesper Ernst,,,,,,,,51,12
SWE,8719,Lindwall,Byrenius,,,,,,,,55,13
SWE,8585,Erikson,Molin,,,,,,,,57,14
GER,8560,Michels,Schmidt,,,,,,,,65,15
GER,8721,Hunger,Jess,,,,,,,,72,16
DEN,8478,Larsen,Andersen,,,,,,,,84,17
DEN,8389,Danry,Danry,,,,,,,,86,18
DEN,7934,Kristoffer Møllevang,Andersen,,,,,,,,96,19
DEN,8364,Bent Lundsager,Andersen,,,,,,,,101,20
