Nation,Number,Helm,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Total,Points,Pos
RSA,8584,Nigel Milne,,[1],1,1,1,1,1,1,1,1,[4],1,[3],17,9,1
,0,Groves,,2,[4],2,3,3,2,[4],3,2,[6],2,2,35,21,2
CAN,0,Simon Lewis,Kevin O'Connor,3,2,4,2,2,4,[8],[7],[5],1,4,1,43,23,3
,0,Craig Redmile,Guy,[6],3,3,[5],[5],3,2,4,3,3,3,4,44,29,4
RSA,0,Grant Ballantyne,,5,[6],[7],4,4,5,3,[6],4,2,5,5,56,37,5
,0,Baker,,4,[8],[9],7,6,7,6,2,6,5,6,[8],74,49,6
RSA,0,Mike Price,,[8],7,6,[8],[8],6,5,5,7,7,7,6,80,57,7
,0,Justin Bird,,7,5,5,6,7,[9],8,7,[9],[9],9,8,89,62,8
,0,David Millway,Wendy Hulley,[9],[9],8,[9],9,8,7,7,8,8,8,7,97,70,9
