Country,Bow/Sail,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Total,Pos,Pos
USA,9106,Mike Martin,Adam Lowry,StFYC/ StFYC,1,1,1,1,1,1,1,1,1,1,1,[2],11,1,1
USA,9004,Jonathan McKee,Eric Anderson,St. Francis YC/ StFYC,2,2,4,[6],4,2,2,3,3,2,2,1,27,2,2
USA,9091,Reeve Dunne,Ted Conrads,none/ None,3,3,2,4,2,4,3,2,2,[19/OCS],3,4,32,3,3
USA,909*,A.J. Conrads,Rob Woelfel,Tahoe Yacht Club/ Tahoe Yacht Club,7,4,7,2,3,[8],7,4,8,3,4,3,52T,4,4
USA,9072,Mike Holt,Dave Shelton,Santa Cruz YC/ Santa Cruz,5,[6],3,3,5,3,6,6,6,5,5,5,52T,5,5
USA,8576,Mike Punnett,Rich Mundell,SISA/ VYC,9,5,6,[19/DNS],9,5,4,7,7,9,6,8,75,6,6
USA,9153,Pierre Jeangirard,,PCYC,4,11,[19/DNF],8,6,7,5,9,5,19/DNS,19/DNF,19/DNS,112T,7,7
USA,8931,Elsa Balton,Blaine Pedlow,CBC/ StFYC,8,9,8,5,7,[19/DNF],19/DNS,19/DNS,9,12,9,7,112T,8,8
USA,8829,Clark Hayes,Miles Johannessen,CBC/ CBC,[19/DNS],19/DNS,19/DNS,19/DNS,19/DNS,6,8,5,4,4,8,6,117,9,9
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club/ACSC/ StFYC/ACSC,10,8,[19/DNS],7,8,19/DNS,19/DNS,8,10,11,11,9,120,10,10
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz YC/ SCYC,6,7,5,[19/DNS],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,7,7,19/DNS,146,11,11
USA,8084,Aaron Ross,Rob Waterman,CGRA/ SCYC/ ABYC,11,10,9,[19/DNF],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,8,10,19/DNS,162,12,12
USA,8864,Courtney Starks,Paul Phil,CBC/ CBC,[19/DNF],12,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,6,12,11,174T,13,13
USA,893*,Jackson McCoy,Olivia Mitchell,PMYC/ PMYC,[19/DNS],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,10,11,10,19/DNS,10,174T,14,14
USA,8815,Emelie Van Vleet,Evan Walker,CBC/ CBC,[19/DNF],19/DNF,19/DNS,9,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,14,19/DNS,12,187,15,15
USA,8439,Paul von Grey,,PCYC,[19/DNF],19/DNS,10,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,13,19/DNS,19/DNS,194,16,16
USA,7875,Ian O'Leary,Declan O'Leary,5o5 association/ 5o5 association,[19/DNF],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,15,19/DNS,19/DNS,205,17,17
USA,8411,Nathan de Vries,Nathalie Criou,Encinal Yacht Club/ richmond yacht club,[19/DNS],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,209,18,18
