SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,BOAT NAME,TOTAL,NET,Place
USA,909*,AJ Conrads,Rob Woelfel,Tahoe yacht club,[7],4,1,2,1,6,2,Eileen,23,16,1
USA,9153,Howard Hamlin,Jeff Nelson,NHYC / ABYC,1,1,3,5,4,3,[DNF 16],None,33,17,2
USA,9142,Douglas Hagan,Keahi Ho,Maui Community Sailing Foundation,2,[9],9,1,2,1,3,Panic,27,18,3
USA,9072,Mike Holt,Dave Shelton,Santa Cruz Yacht Club,[5],2,2,4,3,2,5,Dave goes sailing!,23,18,4
USA,9082,Jeff Miller,Matt Merchant,SCYC,6,6,4,7,8,[13],1,Miracle,45,32,5
USA,9165,Pete Spaulding,Mike Radziejowski,PYC,8,3,7,3,6,[9],7,None,43,34,6
USA,8681,Ryan Cox,Stuart Park,VYC,4,5,5,6,7,7,[9],Park Miller LLC,43,34,7
USA,8576,Mike Punnett,,SISA,3,7,6,[10],10,8,6,Why Not,50,40,8
USA,8937,Tim Murphy,Brendan Heussler,None,9,8,8,9,5,[10],8,None,57,47,9
USA,8854,James Golden,Caleb Yoslov,AYC / SFYC,11,11,10,8,[12],4,4,FakeTaxi,60,48,10
USA,9083,Aaron Ross,Rob Waterman,SCYC,10,10,[11],11,11,11,11,Rob’s Olde Boat,75,64,11
USA,9004,Eric Anderson,Lucy Wilmot,YCYC,[DNC 16],DNC 16,DNC 16,DNC 16,9,5,10,N = 2,88,72,12
USA,7875,Ian O'Leary,,International 505,12,12,[DNS 16],DNS 16,14,12,13,O’Leary Construction,95,79,13
USA,8266,Steve Anderes,Nathan De Vries,IYC,[DNF 16],DNS 16,12,12,15,14,12,Spiff,97,81,14
USA,4*,Patrick Weaver,,SCYC,[DNC 16],DNC 16,DNC 16,DNC 16,13,DNF 16,14,None,107,91,15
