SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,,BOAT NAME,TOTAL,NET,Place
USA,8643,Donald Harris,Clayton James,PRSA & WRSC,2,1,,Ten Percent for the BIG GUY,3,3,1
USA,9041,Henry Amthor,Chris Pfrang,HYC,1,2,,None,3,3,2
USA,8822,David Burchfiel,Lawrence Pearlman,Carolina Sailing Club,4,3,,Wicked Pissa,7,7,3
USA,7095,TJ O'Brien,Boo Fullwood,Lake Norman Yacht Club,3,4,,Flying Spaghetti Monster,7,7,4
USA,8838,Tucker Martin,Kate Pierce,Concord Yacht Club,5,DNF - 7,,None,12,12,5
USA,9173,Sterling Spruill,Danial Montgomery,HYC,DNC - 7,DNC - 7,,None,14,14,6
