Sail,Number,Owner/Skipper,Crew,Yacht Name,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Total,Place
USA,8951,David Kirkpatrick,Keith Longson,Toxic Masculinity,3,1,1,1,3,[5],3,12,1
USA,8786,Luke Ingalls,John Ingalls,Jumping Jack Flash,4,2,3,2,1,3,[5],15,2
USA,8854,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,[7],6,5,4,2,2,1,20,3
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,1,5,2,[9],4,7,4,23,4
USA,8930,Duane Delfosse,Mike Hull,TBD,2,4,[9],3,6,4,9,28,5
USA,8851,Ted Huebner,,USA 8851,6,3,4,6,7,[9],7,33,6
USA,9005,Thomas Kivney,,KatieBear,5,[12/OCS],7,7,5,8,2,34,7
USA,9186,Shona Moss Lovshin,,9186,8,7,6,5,9,[10],8,43,8
USA,9003,Art Gleason,,---,[11],9,8,8,8,6,6,45,9
USA,8715,Paul Taylor,Russell Miller,TBD,9,8,[10],10,10,1,10,48,10
USA,8952,Will Platt,,Dawntreader,10,[12/DNF],12/DNF,12/DNF,12/DNC,12/DNC,12/DNC,70,11
