Country,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,Total,Pos
USA,8854,Craig Thompson,Adam Wolnikowski,,1,1,1,3,1,1,[4],1,,9,1
USA,8951,David Kirkpatrick,Keith Longson,,2,4,4,1,3,3,3,[6],,20,2
USA,8786,Luke Ingalls,John Ingalls,,[7],5,3,6,2,6,6,2,,30,3
USA,8851,William Huebner,Ethan Bixby,,3,8,[9],5,4,7,1,4,,32,4
USA,8930,Duane Delfosse,Mike Hull,,6,9,5,4,[15/RET],2,7,5,,38,5
USA,8808,Ted Bjerregaard,Matt Hersey,,8,6,7,8,6,[15/DNF],2,8,,45,6
USA,9003,Art Gleason,Jonathan Gleason,,[11],11,11,10,7,5,5,3,,52,7
USA,9095,Macy Nelson,Nate Barton,,5,3,6,7,5,[15/RET],15/RET,15/RET,,56T,8
IRL,8987,Peter Scannell,John Dunleg,,[16/DNS],7,8,9,9,8,8,7,,56T,9
USA,8715,Paul Taylor,Sol Marini,,9,10,10,2,8,4,[15/RET],15/RET,,58,10
USA,9005,Thomas Kivney,Gordon Russel,,4,2,2,[15/RET],15/RET,15/DNS,15/DNS,15/DNS,,68,11
USA,7359,Robert Long,Clay Greig,,10,13,12,11,10,9,[15/DNS],15/DNF,,80,12
USA,8952,Will Platt,William R Platt,,[16/DNS],15/DNS,15/DNS,15/DNS,15/DNS,15/DNS,9,15/DNS,,99,13
USA,8952,Michael Breton,TJ Obrien,,[16/DNF],12,15/RET,15/RET,15/RET,15/RET,15/RET,15/DNF,,102,14
