SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,BOAT NAME,TOTAL,NET,
USA,9106,Mike Martin,Adam Lowry,NHYC,2,1,1,[4],1,1,Mike's Boat,10,6,1
USA,8714,John Turney,Jon Bell,Santa Barbara Yacht Club,3,[5],4,2,3,5,Black Boat,22,17,2
USA,9091,Ted Conrads,Reeve Dunne,International 505 Class,[4],3,3,3,4,4,None,21,17,3
USA,9072,Mike Holt,Carl Smit,Santa Cruz Yacht Club,[DNC - 12],4,RET - 12,1,2,2,None,33,21,4
USA,909*,A.J. Conrads,Rob Woelfel,Tahoe Yacht Club,[7],7,2,5,6,3,Eileen,30,23,5
USA,8681,Ryan Cox,Stuart Park,Ventura Yacht Club,5,6,5,[8],5,7,Park Miller LLC,36,28,6
USA,9009,Blaine Pedlow,Elsa Balton,StFYC,6,8,[DNF - 12],6,7,6,Aguafiestas,45,33,7
USA,9004,Eric Anderson,,YCYC/SPYC,1,2,[DNF - 12],DNS - 12,DNC - 12,DNC - 12,N = 2,51,39,8
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club,8,[9],6,9,8,8,Rogue One,48,39,9
USA,8207,James Golden,Caleb Yoslov,AYC/SFYC,9,10,[RET - 12],7,9,9,Spot!,56,44,10
USA,7875,Ian O'Leary,,Na,[RET - 12],RET - 12,NSC - 12,10,10,DNF - 12,O'Leary Construction,68,56,11
