Country,Sail Number,Helm,Crew,Club,1,2,3,4,5,6,7,8,9,10,11,Sub Total,TOTAL,Place
USA,8576,Mike Punnett,Rich Mundell,,1,3,3,[6],5,2,1,1,2,1,2,27,21,1
USA,9027,Pierre Jeangirard,Langdon,,2,5,6,3,[10],5,6,7,6,2,1,53,43,2
USA,8864,Cedric,Paul Pihl,,4,2,5,5,3,[10],8,4,5,5,3,54,44,3
USA,8831,Ellie,Jackson McCoy,,[10],6,4,2,1,6,2,6,7,7,7,58,48,4
CAN,8192,Philip Cragg,Reto Corfu,,3,4,1,9,9,[16],7,5,3,4,4,65,49,5
USA,8782,Ian Reeves,Colin Wahl,,7,[13],2,7,7,7,4,3,1,11,5,67,54,6
USA,8792,Alyosha Strum-Palerm,Stassi,,5,1,15,1,2,1,11,9,8,3,[16],72,56,7
USA,8616,Lee Laney,Nick,,8,7,10,[11],11,8,3,2,4,6,6,76,65,8
CAN,8755,Brian Trainor,Bendon,,9,8,9,10,4,4,10,8,[11],8,9,90,79,9
USA,8939,Clark Hayes,Whitney,,[16],11,7,4,6,3,5,11,9,10,16,98,82,10
USA,8439,Anne Fitzpatrick,Christian Pittack,,6,10,8,8,8,9,9,10,[16],9,8,101,85,11
USA,8017,Jon Seestrom,Borendz,,[14],9,13,13,13,14,13,12,10,12,11,134,120,12
USA,7153,Andrea Reitner,William,,12,15,14,14,14,13,12,[16],16,16,10,152,136,13
USA,9190,Paul von Grey,Nathan,,13,12,11,12,[16],16,16,13,12,16,16,153,137,14
USA,8868,Patrick,Dan Ginther,,11,14,12,15,12,12,14,[16],16,16,16,154,138,15
