Sail,Number,Helm,Crew,Club/Org,R1,R2,R3,R4,R5,R6,R7,R8,R9,Boat Name,Total,Net,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,5,3,1,2,[6],[RET - 21],2,1,1,Mike's Boat,42,15,1
USA,9004,Eric Anderson,Nic Baird,StFYC,[6],5,2,1,1,1,3,[8],6,N = 2,33,19,2
USA,9072,Mike Holt,Adam Wolnikowski,Santa Cruz YC,[10],[6],4,3,4,2,1,2,5,Where's Carl?,37,21,3
USA,9153,Howard Hamlin,Jeff Nelson,NHYC,1,1,[DNF - 21],4,3,9,7,6,[OCS - 21],Larry's last 505,73,31,4
USA,9238,AJ Conrads,Rob Woefel,Tahoe Yacht Club,2,[DNC - 21],[DNC - 21],11,2,3,10,5,2,Eileen,77,35,5
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz Yacht Club,3,4,5,[10],[8],8,8,3,4,Miracle,53,35,6
USA,8576,Mike Punnett,Don Smith,SISA,7,2,[8],6,7,5,5,4,[8],Why Not,52,36,7
USA,9091,Reeve Dunne,Ted Conrads,None,[DNC - 21],8,6,9,5,4,[11],9,3,None,76,44,8
USA,90*,Elsa Balton,Blaine Pedlow,StFYC / Community Boating Center,9,[11],7,7,9,6,4,10,[12],Daria,75,52,9
USA,8937,Tim Murphy,Jack Murphy,None,8,9,[11],8,10,11,6,[12],10,None,85,62,10
USA,9165,Pete Spaulding,Mike Radziejowski,.,[DNC - 21],[DNC - 21],DNC - 21,5,11,7,13,7,11,None,117,75,11
USA,8939,Clark Hayes,Eric Schwab,Corinthian Yacht Club of Seattle,11,12,10,13,[16],12,[14],13,7,Controlled Chaos,108,78,12
USA,8680,Ryan Nelson,Michael Bishop,Alameda Community Sailing Center,12,14,13,12,14,10,[17],11,[17],Rogue Rigging,120,86,13
USA,9083,Rob Waterman,Aaron Ross,ABYC,14,13,9,[DNC - 21],[DNC - 21],DNC - 21,12,15,9,None,135,93,14
USA,9009,Ben Coker,Mitch Hall,Davis Island Yacht Club,15,10,12,[17],12,[RET - 21],15,16,13,None,131,93,15
USA,8681,Ryan Cox,Stuart Park,Vuntura Yacht Club,4,7,3,[DNC - 21],[DNC - 21],DNC - 21,DNC - 21,DNC - 21,DNC - 21,Park Miller LLC,140,98,16
USA,8411,Nathan De Vries,Evan Diola,EYC + SCYC,13,15,[DNF - 21],14,13,13,[19],18,15,Booger,141,101,17
USA,9027,Jimmy Franzone,Bjorn Antell,StFYC,16,16,14,16,[17],14,[18],14,14,None,139,104,18
USA,7875,Ian O'Leary,Nat Butler,Alameda Community Sailing Center,[DNC - 21],[DNC - 21],DNC - 21,15,15,15,9,17,18,O.Leary Construction,152,110,19
USA,8207,Ole Eichhorn,Jotham Schwartz,SBYC,17,[RET - 21],[DNF - 21],18,TLE - 18,DNF - 21,16,19,16,Spot,167,125,20
