Country,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total,Pos
USA,9186,David Kirkpatrick,Keith Longson,Ida Lewis/Sail Newport,[7],5,1,1,1,1,Toxic Masculinity,9,1
USA,8856,Ethan Bixby,Chris Brady,SPSC,1,[7],4,2,3,2,Science Project,12,2
IRL,8987,Peter Scannell,Ted Huebner,Monkstown Bay Sailing Club,2,2,2,[7],2,5,Lookadatla,13,3
USA,8265,Luke Ingalls,,Sakonnet YC,4,4,[5],3,4,4,Jumping Jack Flash,19,4
USA,8643,Barney Harris,Paul von Grey,PRSA & WRSC,5,[9],3,5,6,7,Team SPOT,26,5
USA,9084,Craig Cobbin,Matt Merchant,Black Rock Y C,[9],3,6,4,8,8,Demosthenes,29,6
USA,9095,Macy Nelson,Nate Barton,West River,6,[12],7,10,5,3,Highway 95 Revisited,31,7
CAN,7606,Robert Bartlewski,Sabina Bartlewska,OHCC,3,1,8,11,[19/RET],19/DNS,Kraken,42T,8
USA,8814,Lin Robson,,SPSC,8,8,9,8,[11],9,Sojourner,42T,9
USA,8830,Nathaniel Plant,,Spsc,10,10,[13],6,12,12,Orange 505,50,10
USA,9042,Bruce Clifford,,OHCC - Toronto,11,[15],11,13,10,13,Rocinante,58T,11
USA,7346,Sean Ross,,The Saint Petersburg Yacht Club,12,11,12,[16],13,10,Banana Face's Boat,58T,12
USA,8841,Alexander Meller,,Alexander Meller,[19/DNS],6,10,9,19/RET,19/DNS,Better Late than Never,63T,13
CAN,9028,Shona Moss Lovshin,,Nepean Sailing Club / Britannia Yacht Club,13,13,[14],12,14,11,,63T,14
USA,9003,Art Gleason,Johnny Gleason,Duxbury YC,[19/DNS],19/DNS,19/DNS,14,7,6,,65,15
USA,9173,Sterling Spruill,,Hampton YC,15,16,15,15,9,[19/RET],Here for Vacation,70,16
USA,8767,Charles Curtis,,Davis Island Yacht Club,14,14,[19/DNS],19/DNS,19/DNS,19/DNS,,85,17
USA,8593,Hudson Jenkins,,,[19/DNS],19/DNS,19/DNS,19/DNS,19/DNS,19/DNS,Lightweights,95,18
