USA,Sail #,Driver,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Result,Place
USA,8939,Clark Hayes,Miles Johannessen,,1,1,[2],1,1,1,1,2,1,1,10,1
USA,7*,Pierre Tiny Jeans Girard,PVtinyG,,4,2,3,[5],2,2,4,4,3,2,26,2
USA,8576,Mike Punnett,Drew Punnett,,3,4,4,3,3,4,3,2,2,[7],28,3
USA,907*,Elsa Balton,Blaine Pedlow,,2,3,1,2,5,3,6,[7],6,6,34,4
USA,8559,Courtney Starks,Langdon Junge,,5,5,6,[7],4,5,1,3,4,3,36,5
USA,8782,Ian Reeves,Colin Wahl,,6,7,5,4,6,6,8,[RET],5,5,52,6
USA,8631,Tom/Alexia,Evan/Tom,,7,6,8,8,8,[DNS],5,6,7,9,64,7
USA,7153,Andrea Reitner,Paul Pihl,,[DNF],9,9,9,OCS,DNF,7,5,8,8,75,8
USA,8755,Brian Trainor,Brenden Trainor,,8,8,7,6,7,7,[DNS],DNS,DNS,DNS,83,9
USA,8815,Evan Walker,Emelie Van Vleet,,[DNS],DNS,DNS,DNS,DNS,DNS,9,8,9,4,96,10
