Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Tot,Net,Place
CAN,7039,Robin Brown,Dave Thomas,KYC,2,2,5,5,1,4,18.75,13.75,1
USA,7771,Hamlin,Martin,ABYC,1,1,6,3,4,11,25.5,14.5,2
USA,6987,Meller,John Fry,WRSC,3,3,4,2,8,7,27,19,3
USA,8013,Punnet,Ikle,,5,9,2,6,6,1,28.75,19.75,4
USA,8084,Bruce Edwards,Jonathan Livingston,StFYC,11,8,1,7,5,3,34.75,23.75,5
CAN,8264,Boyd,tenHove,KingYC,4,11,16,1,9,2,42.75,26.75,6
CAN,7150,Smith,Campbell,CYC,7,7,11,8,2,19,54,35,7
CAN,8192,Brook Hamilton,Harla,KYC,10,5,9,9,15,5,53,38,8
CAN,7095,John Hayley,Adams,KYC,13,4,8,10,7,20,62,42,9
CAN,7094,Philip Cragg,Guthrie,KYC,8,6,15,15,3,16,63,47,10
CAN,8446,Anne Henderson,Kris Henderson,CYC,6,10,17,16,11,8,68,51,11
CAN,7353,Wayne Brox,Ian Plumbley,KYC,14,13,3,11,12,14,67,53,12
CAN,7111,Thomas,Reynolds,KYC,12,12,14,17,10,6,71,54,13
CAN,7959,Mondel,Per Jacobsen,WVYC,18,17,10,4,18,9,76,58,14
USA,7201,Kirk Gooding,Don Smith,BYC,9,DNC,7,14,DNC,10,94,67,15
CAN,7775,Torrie,Hyslop,KYC,16,20,26,12,14,13,101,75,16
CAN,7610,David Smart,Claston,KYC,23,16,18,13,16,15,101,78,17
CAN,7859,Coblens,Rob Waterman,ZLYC,15,15,19,18,13,18,98,79,18
CAN,7607,Alan Walker,Dolhaine,KYC,17,14,24,19,21,12,107,83,19
CAN,7100,Crocher,Arby,WVYC,19,18,20,24,20,17,118,94,20
CAN,8262,Crane,John Henderson,MOFYC,20,19,21,20,17,21,118,97,21
CAN,7249,Owen,Meade,KSA,22,23,13,22,23,23,126,103,22
CAN,7612,Barron,Hansen,BYC,21,22,23,21,19,22,128,105,23
CAN,7206,Peter Grimm,Fred Grimm,KYC,24,21,12,25,DNC,DNC,136,109,24
CAN,7097,Joe Burcar,Peter Lehman,PMYC,DNC,DNC,22,23,22,25,146,119,25
CAN,7458,Dale Phillips,Julie Giguere,SSC,25,24,25,DNF,DNC,24,152,125,26
