Country,SaIINe,Helmname,Crewname,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Place
RSA,9094,Thomas Funke,Peter Funke,PVC/Aeolians,1,1,1,[3],1,1,1,1,10,7,1
RSA,8471,Kyle Klaas,CJ Milln,LDYC/PSC,[3],2,2,1,3,2,2,3,18,15,2
RSA,8788,David Rae,Sean Cumming,RCYC,2,3,3,2,2,[4],3,2,21,17,3
RSA,8406,Bronwen Klaas,Matthew Ingles,PSC,[9 DNC],4,4,4,5,3,4,4,37,28,4
RSA,8789,Warwick Ham,Drew Scott,PSC,4,5,5,5,6,[7],7,6,45,38,5
RSA,8481,Rick Nankin,Ferdinand Holm,ZVYC,[9 DNC],9 DNC,6,6,4,5,5,5,49,40,6
RSA,8675,Gregg Hurter,Euan Hurter,PYC,5,6,[7],7,7,6,6,7,51,44,7
RSA,8537,Andrew Arthur,Jaques Faure,ESC,[9 DNC],9 DNC,8,8,8,8,8,8,66,57,8
