Nation,Boat NO,HELM,Crew,Club,Race 1,Race 2,Race 3,Points,Place
RSA,9063,Richard Hutton-Squire,,Royal Cape Yacht Club,2,1,1,4,1
RSA,8788,David Rae,Sean Van Rensburg,Hermanus Yacht Club,1,2,DNC 6,9,2
RSA,788*,Hamilton Slater,Luke De Villers,Zeekoe Vlei Yacht Club,4,DNC 6,2,12,3
RSA,8707,Ross Mackinnon,Alex Falcon,Zeekoe Vlei Yacht Club,3,3,DNC 6,12,4
RSA,8211,Drew Scott,Amber De Dekker,Knysna Ychat Club,5,DNC 6,DNC 6,17,5
