Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Netto,Place
RSA,9094,Peter Funke,Thomas Funke,,[1],1,1,1,1,1,1,7,6,1
RSA,8406,Bronwen Klaas,Marci Seitz,,[4],2,2,4,2,2,3,19,15,2
RSA,8520,Aaron Biagio,Mark Biagio,,3,[4],3,3,3,4,2,22,18,3
RSA,8789,Kyle Klaas,Warwick Ham,,2,3,[OCS 8],2,4,3,DNC 8,30,22,4
RSA,7722,Dudley Thomson,Allan Lewthwaite,,6,7,4,6 TLE,5 TLE,[DNC 8[,DNC 8,44,27,5
RSA,19094*,Phillip Bennett,Neil Armstrong,,5,5,6,6,[DNC 8[,DNC 8,DNC 8,45,36,6
RSA,8587,Andrew Arthur,,,7,6,5,6 TLE,5 TLE,[DNC 8[,DNC 8,45,36,7
