Country,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Boat,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians,1,[2],1,1,2,[3],2,1,2,1,1,1,Lelo,18,13,1st
RSA,8719,Alex Ham,Jonno Ham,PSC,2,1,[3],3,1,2,3,2,[5],2,2,2,Kapttan Blaubar,28,20,2nd
RSA,9063,Mn,Richard Hutton Squire,RCYC,3,[5],4,3,4,[7],5,3,1,3,3,3,Iris,44,32,3rd
RSA,8445,Kyle Klaas,Robert v Gruenewaldt,PSC,4,3,2,6,3,1,1,5,4,6,[12 DNC],[12 DNC],BRT,59,35,4th
RSA,8789,Jethro,Warwick Ham,PSC,5,4,[6],4,5,5,4,6,3,4,4,[12 DNC],8 of 9,62,44,5th
RSA,8406,Bronwen Klaas,Marco Seitz,PSC,6,6,5,5,6,4,6,4,6,5,[12 DNC],[12 ONC],Old Scoundrel,77,53,6th
RSA,9016,Arend,Dave Kitchen,PSC,8,7,8,[12 DNC],8,6,7,7,7,7,[12 DNC],12 DNC,,101,77,7th
RSA,8211,Tayo Scott,Drew Scott,Knysna,7,8,7,7,7,8,8,8,8,[12 DNF],[12 DNC],12 DNC,,104,80,8th
RSA,7722,Dudley Thomson,Allan Lewthwaite,BSC,10,10,9,8,9,9,9,9,9,[12 DNF],[12 DNC],12 DNC,Pantera,118,94,9th
RSA,8537,Andrew Arthur,Jacques,ESC,9,9,10,[12 DNC],10,10,[12 DNF],10,10,12 DNF,12 DNC,12 DNC,,128,104,10th
RSA,6400,Ian Campbell,Mark,BSC,[12 DNF],11,11,[12 DNC],12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,,142,118,11th
