Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Nr
SWE,8962,Peter Bökmark,Martin Persson,BKSS,3,2,1,1,3,[7],17,10,1
SWE,9181,Malin Broberg,Johan Röök,BKSS,2,3,6,2,1,[15],29,14,2
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,1,5,3,[12],2,3,26,14,3
SWE,8859,Tomas Berg,Johan Calvert,BKSS,4,1,2,6,[10],9,32,22,4
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,9,7,8,4,4,(26)DNC,58,32,5
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,6,4,9,3,13,(26)DNF,61,35,6
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,7,12,7,[17],11,1,55,38,7
GER,9260,Tim Böger,Markus Schöner,HSC,12,9,[14],5,8,4,52,38,8
SWE,9143,Thomas Lundberg,Johan Strömdahl,KSSS,[11],10,10,9,5,5,50,39,9
SWE,9222,Tomas Franzen,Lars Lindgren,RJK,5,13,5,7,[15],14,59,44,10
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,10,8,[15],13,7,6,59,44,11
DEN,9025,Christian Seilman,Henrik Thomasen,Middelfart Sejlklub,14,14,13,8,[17],2,68,51,12
GER,9256,Jens Biederer,Jan Reifferscheidt,KYC,13,17,4,[19],9,10,72,53,13
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,8,6,11,[16],16,12,69,53,14
SWE,9259,Mikael Gustavsson,Tore Reinhold,BKSS,[18],15,18,15,6,13,85,67,15
DEN,9174,Jesper Bülow,Soren Asboe Jorgensen,Aarhus Sejlklub,17,21,[22],10,12,8,90,68,16
SWE,9171,Martin Fridh,Mats Dahlander,LBS,20,11,[21],11,19,17,99,78,17
DEN,8827,Torben Andersen,Klaus Søndergaard,Holbæk Sejlklub,19,18,12,[21],18,11,99,78,18
SWE,9029,Mikael Olesen,Ulf Camitz,VBK,16,19,17,14,14,(26)DNC,106,80,19
DEN,9243,Per Larsen,Christian Mogensen,Hellerup Sejlklub,15,16,16,[22],20,16,105,83,20
DEN,9014,Magnus Aagesen,Henrik Aagesen,Holbæk Sejlklub,21,20,19,20,[22],18,120,98,21
SWE,9038,Jakob Lindvall,Karl Byrenius,Åre Slalomklubb,[22],22,20,18,21,19,122,100,22
DEN,8828,Sylvester Holm,Agnete Schlichtkrull,Sundby Sejlforening,23,24,23,24,(26)DNF,20,140,114,23
DEN,9109,Hans Genefke,Søren Hjorth,Skælskør Amatør-Sejlklub,24,23,24,[25],23,22,116,141,24
DEN,843*,Kasper Agerbæk,Thue Bjørn Betak,Holbæk Sejlklub,[27 NSC],26NSC,26DNF,23,24,21,147,120,25
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aalborg Sejlklub,,,,,,,,,
