Nat,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Pts,Pos
FRA,8802,Phillipe Boite,F.Toupet,C.V.Meaux,1,1,1,4*,1,1,Super Doudou,5,1st
FRA,8800,David Ravet,Bertrand Loyal,S.R.Rochelaises,2,5*,4,2,4,4,Juve,16,2nd
GBR,8555,Charlie Walters,Dougal Cram,Lyme Regis SC,7,9*,5,1,3,3,Who's the Daddy?,19,3rd
GBR,8552,Russell Short,Andrew Short,Rotherham SC,5,13*,2,5,5,9,Rapid Transport,26,4th
GBR,8378,Martin Hodgson,Adrian Miles,Stone SC,6,3,3,7,9*,8,Gilbert,27,5th
GBR,8679,Hector Cisneros,Lawrence Crispin,Stone SC,11*,4,11,8,2,5,,30,6th
GBR,8694,Andy Williams,Andy Edmonds,PYSC,8,8,8,10,12*,6,Beau Nidle,40,7th
GBR,8774,Ian Pinnell,Steve Hunt,HISC,4,2,DNC*,DNC,6,2,,42,8th
GBR,8836,Ian Montague,Neil Fulcher,Stone SC,18*,6,7,11,8,11,,43,9th
GBR,8752,Chris Dando,Donald Sloan,Stone SC,17*,11,12,9,11,10,,53,10th
GBR,8460,Martin Goult,Gordon Russell,Burghfield SC,DNF*,7,6,6,18,17,Skippy,54,11th
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley SC,3,DNF*,DNC,3,7,16,,57,12th
GBR,8701,Rob Napier,Matt Bristow,HISC,13,18*,10,12,10,14,Orlando,59,13th
GBR,8780,Jack Hayhurst,Adrian Coates,Carsington SC,9,17*,9,13,17,15,Momentum,63,14th
GBR,8726,Martin Stainsby,Chris Powles,HISC,10,19*,13,15,13,12,Black Pig,63,15th
GBR,8685,Richard Sims,Simon Wood,Carsington SC,14,10,15,16,14,DNF*,,69,16th
FRA,8804,Commeil,Buand,SRR,20*,14,14,19,16,7,Jigsaw,70,17th
GBR,8708,Martin Wedge,Scott Allen,HISC,15,16,16,17*,15,13,,75,18th
GBR,8678,Jim Berry,D.Barnes,TSC,19,12,17,20,22*,22,,90,19th
GBR,8497,John Howlett,Dennis Cartwright,Burton SC,16,DNF*,18,18,20,19,,91,20th
GBR,8489,John Webster,Robert Burdekin,Carsington SC,12,DNF*,DNC,14,21,18,Millenium Proof,93,21st
GBR,8650,Terry Selfe,Alan Montague,Stone SC,21,15,21,21,19,DNF*,,97,22nd
GBR,7546,Laurence Milton,Charles Milton,Helensburgh SC,23,21,19,22,24*,21,Scud Missile,106,23rd
FRA,8733,Boiry,Ancelot,SRR,22,22,22,24*,23,20,,109,24th
GBR,8532,Tom Clayton,Alex Cull,Queen Mary SC,25,20,20,23,26*,23,,111,25th
GBR,8432,Steve Sampson,Kieth Norris,Felpham SC,24,23,24,26,27*,24,Sagacious,121,26th
GBR,8234,Mike Rendall,Ross Davies,Roadford SC,26*,24,23,25,25,25,April Fool,122,27th
