Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,,Boat Name,Pts,Pos
GBR,8552,Russell Short,Andrew Short,Burton,8,2,1,1,,,4,1st
GBR,8787,Christian Diebitsch,Simon Lake,,1,1,2,DNS,,,4,2nd
GBR,8694,Andy Williams,Andy Edmonds,PYSC,2,3,4,DNS,,Beau Nidle,9,3rd
GBR,8591,Dave Bell,Pete Ward,Burton,7,4,5,2,,,11,4th
GBR,8745,Chris Pearson,Frank Rainsborough,QM,6,7,3,3,,,12,5th
GBR,8678,Jim Berry,Richard Berry,CVLSC,4,5,7,4,,,13,6th
GBR,8474,Chris Thorne,Andy Tyas,PYSC,3,8,8,5,,,16,7th
GBR,8467,Chris Romans,Brenda Romans,PYSC,5,6,6,6,,Double Dragon,17,8th
GBR,8212,Dave Shaw,Alex Shaw,PYSC,9,DNF,9,7,,,25,9th
