Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GBR,8774,"Ian Pinnell","Steven Hunt",GWSC,3,1,1,1,6,,1
GBR,8555,"Charles Walters","Nick Murray",GWSC,1,2,4,4,11,,2
GBR,8787,"Terry Scutcher","Christian Diebitsch",Shotley,4,"DNF 13",2,2,21,,3
GBR,8701,"Rob Napier","Mathieu Bristow",HoL,2,4,6,5,17,,4
GBR,8694,"Andy Williams","Andy Edmonds",Port.,6,"DNF 13",3,3,25,,5
GBR,8780,"Jack Hayhurst","Adrian Coates",Burton,5,5,5,6,21,,6
GBR,8650,"Terry Selfe","Alan Montague",Stone,9,3,9,8,29,,7
GBR,8752,"Chris Dando","Donald Sloan",Stone,7,8,7,7,29,,8
GBR,8474,"Chris Thorne","Chris Romans",Port.,10,6,8,9,33,,9
GBR,8678,"Jim Berry","Simon Lake",CVSC,8,7,10,10,35,,10
GBR,8511,"Peter Poole","Stuart North",WYC,12,10,11,11,44,,11
GBR,8532,"Tom Clayton","Alex Cull",Shotley,11,9,"DNC 13","DNC 13",46,,12
