Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Nett,Rank
GBR,8419,Stuart Turnbull,Jason Lunn,BURTON SC,2,1,3,4*,1,,7,1st
GBR,8694,Andy Williams,Charlie Walters,PORTISHEAD Y&S CLUB/DATCHET,3,2,1,10 DNC*,3,BEAU NIDLE,9,2nd
GBR,8701,Rob Napier,Matt Bristow,BOWMOOR SC,4,5*,2,1,4,ORLANDO,11,3rd
GBR,8552,Russell Short,Andrew Short,ROTHERHAM SC,1,4,4,5*,5,RAPID TRANSPORT,14,4th
GBR,8726,Martin Stainsby,Dave Poston,HAYLING ISLAND SC/DATCHET SC,6,3,5,10 DNC*,2,BLACK PIG,16,5th
GBR,8467,Chris Romans,Brenda Romans,PORTISHEAD Y&S CLUB,8*,7,7,2,6,DOUBLE DRAGON,22,6th
GBR,8514,Ben Jones,David Thorpe,TENBY SC/PARKSTONE YC,5,6,6,10 DNC*,7,RAMPANT 8,24,7th
GBR,8678,Jim Berry,Richard Berry,PORTISHEAD,7,8,8,3,9*,,26,8th
GBR,8474,Chris Thorne,,PORTISHEAD Y&S CLUB,9,9,10 DNC*,6,8,,32,9th
