Nation,e Identif,Concurrent,,Club  ou  Pays,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Helm sex/year,Crewsex/year,Crew club,Pts Ret,Pts Tot,Place
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,[3],1,1,2,2,M62,M01,CVSQ,6,9,1
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,1,2,2,[3],3,M54,M55,CVML,8,11,2
FRA,8716,Aline Martin,Augustin Doumic,Y C ILE DE FRANCE,2,[OCS 13],3,4,5,F85,M98,S N TRINITE S/MER,14,27,3
FRA,9076,Maxime Le Goff,Serge Gubri,S R VANNES,4,[OCS 13],4,6,1,M74,M49,C V SEINE-PORT,15,28,4
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,7,[OCS 13],6,1,8,M53,M64,Y C ILE DE FRANCE,22,35,5
FRA,9219,Elisabeth Neidhart,Pierre Gorremans,Y C ILE DE FRANCE,5,[OCS 13],7,7,4,F65,,,23,36,6
FRA,7771,Mathieu Devaux,Philippe Dubuc,S R FECAMP,6,6,5,[OCS 13],6,M69,M69,S R FECAMP,23,36,7
FRA,9031,Philippe Lucienne,Vivien Lucienne,S.R.C Sud-Oise,[8],4,8,5,7,M57,M85,S.R.C Sud-Oise,24,32,8
FRA,9045,Nicolas Guillou,Alain Ferec,S N P H,9,3,9,9,[10],M71,M71,S N P H,30,40,9
FRA,8950,Eric Quemard,Antoine Victor,Y C ILE DE FRANCE,[10],5,10,8,9,M51,M72,Y C ILE DE FRANCE,32,42,10
FRA,8367,Christophe Lesueur,Louis Lesueur,EVEILS FT MAHON,[11],7,11,10,11,M64,M98,SENSATION LARGE,39,50,11
FRA,8402,Laurent Badreau,Simon Badreau,YC VERNON,[12],8,12,11,12,M67,M92,YC VERNON,43,55,12
