,e Identif,Concurrent,Concurrent,Club  ou  Pays,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Co. 6,Co. 7,Co. 8,Pts Ret,Pts Tot,Plac
FRA,9220,Philippe Boite,Carnot Marin,CVSQ,1,5,5,1,2,[10],1,6,21,31,1
AUS,9134,Michael Quirk,Dwyer Charles,Australie,5,1,9,[15],1,6,3,4,29,44,2
GER,9169,Tim Böger,Finn Böger,,2,2,[11],8,4,9,4,7,36,47,3
FRA,9147,Herve De Kergariou,Tristan Le Jeune,ASN QUIBERON,4,7,2,2,[16],7,8,8,38,54,4
GER,9182,Alexander Holzapfel,Joseph Schuette,Allemagne,3,4,4,[14],9,11,7,1,39,53,5
GBR,9214,Andy Smith,Stewart Mears,Grande-Bretagne,[16],3,7,7,6,8,2,10,43,59,6
FRA,8716,Aline Martin,Augustin Doumic,Y C ILE DE FRANCE,10,6,[15],13,3,14,6,3,55,70,7
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,6,10,12,9,10,[18],5,5,57,75,8
SUI,9060,Catherine Houriet,Donzé Gil,Suisse,[20],18,1,3,5,13,16,13,69,89,9
FRA,921*,Ludovic Roblin,Benoit Radier,AAN PORT-BLANC,14,16,3,[25],8,1,10,18,70,95,10
BEL,8613,Kim Van Assche,Bas Van Assche,Belgique,12,13,[28],4,14,16,13,2,74,102,11
FRA,9219,Elisabeth Neidhart,Gallo Pierre Jean,Y C ILE DE FRANCE,15,12,8,[18],13,3,9,15,75,93,12
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,ASPTT TROYES VOILE,7,[20],10,17,7,20,12,14,87,107,13
AUS,9221,Ian Brown,Tom Olsen,Australie,13,8,[DNC 33],UFD 33,18,5,11,9,97,130,14
FRA,9076,Serge Gubri,Maxime Le Goff,C V SEINE-PORT,11,14,18,[20],23,4,19,12,98,121,15
FRA,8869,Etienne Boyer,Boyer Emmanuel,LA PELLE-MARSEILLE,9,17,6,21,[26],15,15,16,99,125,16
FRA,8870,Christian Silvestre,Auberger Nicolas,Y C ILE DE FRANCE,22,11,19,6,15,[23],23,11,107,130,17
FRA,9031,Philippe Lucienne,Lucienne Vivien,S.R.C Sud-Oise,[DNS 33],24,26,11,11,2,17,19,110,143,18
FRA,9150,Valentin Dechauffour,Gendry Pierre,ASN QUIBERON,[26],9,17,24,12,25,20,17,124,150,19
FRA,9019,Veronique Brenet,Peter Jean-Pierre,A C D'ALSACE LORRAIN,18,15,13,16,21,24,28,[DNC 33],135,168,20
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASN QUIBERON,21,19,23,12,17,[27],18,27,137,164,21
FRA,9068,Francois De Lisle,Desjuzeur Marc,C N FERRET,8,21,21,28,19,19,26,24,138,166,22
FRA,8614,Matthieu Morel,Grégoire Morel,C V JULLOUVILLE,19,25,14,[27],20,17,21,25,141,168,23
FRA,8895,Nicolas Michel,Michel Laurent,S N O NANTES,24,27,16,5,31,12,[DNF 33],30,145,178,24
FRA,8800,Claude Lafortune,Lafortune Adrien,C V SEINE-PORT,17,23,22,[29],22,26,22,22,154,183,25
FRA,9137,Laurent Bernadac,Fernandez Julien,YCCA,[DNC 33],29,25,10,24,22,29,23,162,195,26
FRA,9086,Eric Quemard,Victor Antoine,Y C ILE DE FRANCE,25,22,20,26,27,31,14,[28],162,193,27
FRA,8729,Nicolas Martin,Lafortune Jordane,C V SEINE-PORT,23,26,24,23,[28],21,24,21,162,190,28
BEL,8553,Pierre Gorremans,Gorremans Paul,Belgique,[DNS 33],28,DNS 33,19,29,28,25,20,182,215,29
FRA,8904,Marine Delagrange,Delagrange Antoine,C V SEINE-PORT,27,30,[DNF 33],22,25,29,27,26,186,219,30
FRA,7941,Pierre Yves Chene,Erwan Marrec,CNROSTIVIEC LOPERHET,28,32,27,[30],30,30,30,29,204,236,31
FRA,321,Thierry Trompette,Tanguy Trompette,S N LARMOR PLAGE,[DNS 33],31,29,31,32,32,31,31,217,250,32
