Country,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Points,Place
GER,9241,Wolfgang Hunger,Holger Jess,,2,2,[24],3,2,33,9,1
USA,9072,Mike Holt,Rob Woelfel,,4,3,2,[5],3,17,12,2
GER,9182,Alexander Holzapfel,Arne Wittemer,,1,10,4,[18],1,34,16,3
FRA,9220,Philippe Boite,Marin Carnot,,7,1,5,[19],5,37,18,4
GBR,9180,Mark Upton-Brown,Ian Mitchell,,3,5,8,2,[14],32,18,5
SUI,9096,Cedric Bart,Rene Betschen,,[8],4,7,4,6,29,21,6
FRA,9147,Herve de Kergariou,Philippe Jacot,,9,8,3,6,[19],45,26,7
GER,9198,Lena Stückl,,,5,[11],6,9,7,38,27,8
GBR,9214,Andy Smith,Stewart Mears,,[22],6,19,1,9,57,35,9
FRA,9081,Gilles Chapelin,Christian Chapelin,,[18],16,1,8,13,56,38,10
GBR,9238,Ian Pinnell,Davies Alex,,6,[14],13,14,8,55,41,11
AUS,9210,Michael Quirk,Tim Needham/Reeve Dunne,,16,9,[18],12,10,47,65,12
GER,9169,Tim Böger,Finn Böger,,15,[17],15,7,23,54,77,13
SUI,9060,Catherine Houriet,Giles Donzé,,13,[DNF 34],9,15,17,54,88,14
GER,9090,Christian Kellner,Martin Schoeler,,[21],12,17,10,15,54,75,15
GER,9195,Nils-Henning Hofmann,Dirk Penno,,12,22,10,17,[24],61,85,16
GER,9070,Sophie Söllner,Andreas Achterberg,,11,18,[23],23,11,63,86,17
GER,9131,Joern Wille,Martin Bergmann,,14,19,16,[21],16,65,86,18
GBR,9093,Alex Barry,Harry Briddon,,25,26,[28],13,4,68,96,19
GER,9149,Andreas Bock,Rolf Meyer,,10,25,[DSQj 34],26,12,73,107,20
GER,9234,Nørbert Dasenbrook,Sven Meier,,20,7,25,[29],22,74,103,21
GER,9101,Alexander Swade,Timon Treichel,,[28],27,11,11,26,75,103,22
GER,9135,Jens Biederer,Johannes Kindermann,,24,13,[29],16,25,78,107,23
FRA,9075,Loic Bleuez,Guillaume Henrio,,19,[30],14,28,18,79,109,24
GER,9133,Frieder Achterberg,Wolfgang Stueckl,,23,23,12,27,[28],85,113,25
FRA,9218,Bertrand Commeil,Charles Commeil,,26,20,[27],22,20,88,115,26
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,,17,[31],31,20,21,89,120,27
FRA,9086,Eric Quemard,Antoine Victor,,29,15,[DNF 34],25,32,101,135,28
FRA,9098,Michel Delsemme,Christian Simonnot,,[30],28,20,24,30,102,132,29
FRA,9150,Valentin Dechauffour,Pierre Gendry,,27,21,26,[DSQj 34],29,103,137,30
BEL,8553,Pierre Gorremans,Paul Gorremans,,32,24,21,[DNS 34],27,104,138,31
FRA,8943,Philippe Markt,Gerald Queouron,,[33],29,22,31,31,113,146,32
FRA,9036,Martin Wedge,Graham Elliot,,31,32,30,30,[33],123,156,33
