Nation,Boat NO,Helm,Crew,ligue,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,points,place
FRA,9220,Philippe Boite,Thibault Di Pède,CVSQ,2,1,[3],1,1,2,1,1,C V SEINE-PORT,9,1
FRA,,Ludovic Roblin,Benoît Radier,AAN PORT-BLANC,5,5,1,6,4,[9],2,7,AAN PORT-BLANC,30,2
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,Y C ILE DE FRANCE,6,3,10,3,[10],4,6,3,CVSQ,35,3
FRA,9045,Nicolas Guillou,Alban Viaud,S N P H,3,4,4,5,6,[10],5,8,C N B P P,35,4
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,ALLEMAGNE,8,2,2,9,8,5,[10],6,Allemagne,40,5
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,1,[UFD 17],5,11,2,3,UFD 17,2,CVML,41,6
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,7,6,[9],4,7,6,8,4,Y C ILE DE FRANCE,42,7
FRA,9147,Hervé de Kergariou,Jean-Claude Ancelot,ASN QUIBERON,4,[UFD 17],7,DNF 17,5,1,4,5,ASN QUIBERON,43,8
FRA,9218,Bertrand Commeil,Charles Commeil,LA ROCHELLE NAUTIQUE,12,7,6,10,3,8,[DNS 17],DNS 17,Y C CARNAC,63,9
FRA,8869,Etienne Boyer,Emmanuel Boyer,LA PELLE-MARSEILLE,10,[13],11,7,13,7,3,12,C V BORDEAUX C M,63,10
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,11,12,[15],2,9,13,7,10,S N O NANTES,64,11
FRA,9068,François de Lisle,Marc Desjuzeur,C N FERRET,[15],9,13,8,11,12,12,9,C N RENNES,74,12
FRA,9083,Eric Quémard,Antoine Victor,Y C ILE DE FRANCE,13,10,8,[UFD 17],12,11,11,11,Y C ILE DE FRANCE,76,13
FRA,,Marion Michel,Anaïs Dechauffour,,9,8,12,12,14,15,9,[NSC 17],ASN QUIBERON,79,14
BEL,8553,Pierre Gorremans,Jean Gorremans,BELGIQUE,16,11,14,[DNF 17],15,14,13,NSC 17,Belgique,100,15
FRA,8895,Laurent Michel,Marine Ruiz,C V A N NANTES,14,14,16,13,16,16,[DNF 17],DNF 17,C V A N NANTES,106,16
