Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Rank
GBR,9178,Chris Lewns,Jack Kilburn,Whitstable YC,2,1,3,6,1
GBR,9180,Mark Upton-Brown,Ian Mitchell,Hayling Island,4,2,1,7,2
GBR,9177,Tom Gillard,Geoff Edwards,Sheffield SC,1,4,2,7,3
GBR,9104,Adam Kenney,Rich Nurse,Burton SC,3,7,4,14,4
GBR,9158,Craig Thompson,Paddy Lewis,,5,5,5,15,5
GBR,9179,Tudor Owen,Tom Bruton,Whitstable YC,7,3,6,16,6
GBR,8881,Neil Rabbitts,Carl Avery,Burton SC,6,6,7,19,7
